GTDB R95 family	Number of genomes	Number of NCBI families	List of NCBI families
f__Cellvibrionaceae	77	4	f__Cellvibrionaceae(o__Cellvibrionales) 66.23%, f__Microbulbiferaceae(o__Cellvibrionales) 23.38%, f__(o__Burkholderiales) 6.49%, f__Alteromonadaceae(o__Alteromonadales) 3.9%
f__Bryobacteraceae	76	4	f__(o__Burkholderiales) 94.74%, f__Solibacteraceae 2.63%, f__Acidobacteriaceae(o__Acidobacteriales) 1.32%, f__Bryobacteraceae 1.32%
f__Megasphaeraceae	75	1	f__Veillonellaceae 100.0%
f__UBA8517	75	1	f__(o__Burkholderiales) 100.0%
f__Fibrobacteraceae	75	3	f__Fibrobacteraceae 85.33%, f__(o__Burkholderiales) 13.33%, f__Fibromonadaceae(o__Fibromonadales) 1.33%
f__CAG-74	75	3	f__(o__Burkholderiales) 81.33%, f__Catabacteriaceae(o__Clostridiales) 14.67%, f__Ruminococcaceae(o__Clostridiales) 4.0%
f__Marinifilaceae	74	4	f__Odoribacteraceae 77.03%, f__Marinifilaceae(o__Marinilabiliales) 14.86%, f__Porphyromonadaceae 6.76%, f__Balneicellaceae 1.35%
f__MedAcidi-G1	73	3	f__Microthrixaceae 46.58%, f__Acidimicrobiaceae 34.25%, f__(o__Burkholderiales) 19.18%
f__UBA10185	72	1	f__(o__Burkholderiales) 100.0%
f__Bog-793	72	2	f__Acidimicrobiaceae 98.61%, f__(o__Burkholderiales) 1.39%
f__Thalassospiraceae	70	1	f__Rhodospirillaceae 100.0%
f__P3	70	1	f__(o__Burkholderiales) 100.0%
f__Phormidiaceae	70	3	f__Microcoleaceae(o__Oscillatoriales) 47.14%, f__(o__Burkholderiales) 44.29%, f__Oscillatoriaceae(o__Oscillatoriales) 8.57%
f__Geodermatophilaceae	69	2	f__Geodermatophilaceae(o__Geodermatophilales) 98.55%, f__(o__Burkholderiales) 1.45%
f__Opitutaceae	69	2	f__Opitutaceae 59.42%, f__(o__Burkholderiales) 40.58%
f__Butyricicoccaceae	69	4	f__Clostridiaceae(o__Clostridiales) 53.62%, f__(o__Burkholderiales) 31.88%, f__Ruminococcaceae(o__Clostridiales) 10.14%, f__Eubacteriaceae(o__Clostridiales) 4.35%
f__Myxococcaceae	68	3	f__Myxococcaceae 76.47%, f__Archangiaceae 22.06%, f__(o__Burkholderiales) 1.47%
f__GWC2-37-13	67	1	f__(o__Burkholderiales) 100.0%
f__Methylophagaceae	67	2	f__Piscirickettsiaceae(o__Thiotrichales) 91.04%, f__(o__Burkholderiales) 8.96%
f__Bacillaceae_D	66	1	f__Bacillaceae 100.0%
f__Zambryskibacteraceae	66	1	f__(o__Burkholderiales) 100.0%
f__Devosiaceae	66	2	f__Hyphomicrobiaceae 84.85%, f__(o__Burkholderiales) 15.15%
f__Nanopelagicaceae	66	4	f__(o__Burkholderiales) 68.18%, f__Candidatus Nanopelagicaceae 25.76%, f__Streptomycetaceae(o__Streptomycetales) 4.55%, f__Microbacteriaceae(o__Micrococcales) 1.52%
f__Ilumatobacteraceae	66	3	f__(o__Burkholderiales) 51.52%, f__Acidimicrobiaceae 33.33%, f__Ilumatobacteraceae 15.15%
f__GWC2-71-9	65	1	f__(o__Burkholderiales) 100.0%
f__Sulfurimonadaceae	65	3	f__Helicobacteraceae 96.92%, f__(o__Burkholderiales) 1.54%, f__Campylobacteraceae 1.54%
f__Succinivibrionaceae	65	2	f__Succinivibrionaceae(o__Aeromonadales) 70.77%, f__(o__Burkholderiales) 29.23%
f__Sphaerochaetaceae	64	2	f__(o__Burkholderiales) 53.12%, f__Spirochaetaceae(o__Spirochaetales) 46.88%
f__Schleiferiaceae	64	3	f__(o__Burkholderiales) 51.56%, f__Cryomorphaceae 42.19%, f__Schleiferiaceae 6.25%
f__UBA7541	63	1	f__(o__Burkholderiales) 100.0%
f__CAG-272	63	4	f__(o__Burkholderiales) 77.78%, f__Ruminococcaceae(o__Clostridiales) 14.29%, f__Eubacteriaceae(o__Clostridiales) 6.35%, f__Clostridiaceae(o__Clostridiales) 1.59%
f__Nitrincolaceae	62	3	f__Oceanospirillaceae(o__Oceanospirillales) 93.55%, f__Balneatrichaceae(o__Oceanospirillales) 3.23%, f__(o__Burkholderiales) 3.23%
f__UA16	62	3	f__(o__Burkholderiales) 74.19%, f__Crocinitomicaceae 24.19%, f__Cryomorphaceae 1.61%
f__Saprospiraceae	61	4	f__Saprospiraceae(o__Saprospirales) 47.54%, f__(o__Burkholderiales) 29.51%, f__Lewinellaceae(o__Saprospirales) 19.67%, f__Haliscomenobacteraceae(o__Saprospirales) 3.28%
f__Bacillaceae_C	60	1	f__Bacillaceae 100.0%
f__Steroidobacteraceae	60	2	f__(o__Burkholderiales) 95.0%, f__Sinobacteraceae(o__Nevskiales) 5.0%
f__Micavibrionaceae	60	2	f__(o__Burkholderiales) 93.33%, f__Rhodospirillaceae(o__Rhodospirillales) 6.67%
f__Azospirillaceae	59	2	f__Rhodospirillaceae(o__Rhodospirillales) 96.61%, f__(o__Burkholderiales) 3.39%
f__VadinHA17	58	1	f__(o__Burkholderiales) 100.0%
f__Thiobacillaceae	58	3	f__Thiobacillaceae(o__Nitrosomonadales) 50.0%, f__ 48.28%, f__Hydrogenophilaceae(o__Hydrogenophilales) 1.72%
f__GWA2-73-35	57	1	f__(o__Burkholderiales) 100.0%
f__Saccharospirillaceae_A	57	3	f__Oceanospirillaceae(o__Oceanospirillales) 89.47%, f__(o__Burkholderiales) 7.02%, f__Rhodobacteraceae(o__Rhodobacterales) 3.51%
f__Alkalispirochaetaceae	57	2	f__Spirochaetaceae 63.16%, f__(o__Burkholderiales) 36.84%
f__CSP1-4	56	1	f__(o__Burkholderiales) 100.0%
f__Peribacteraceae	55	1	f__(o__Burkholderiales) 100.0%
f__UBA5184	54	1	f__(o__Burkholderiales) 100.0%
f__Dehalococcoidaceae	54	2	f__Dehalococcoidaceae 74.07%, f__(o__Burkholderiales) 25.93%
f__UBA922	53	1	f__(o__Burkholderiales) 100.0%
f__GWA2-44-9	53	1	f__(o__Burkholderiales) 100.0%
f__Crocinitomicaceae	53	4	f__(o__Burkholderiales) 49.06%, f__Crocinitomicaceae 47.17%, f__Cryomorphaceae 1.89%, f__Alteromonadaceae(o__Alteromonadales) 1.89%
f__Nitriliruptoraceae	52	2	f__Nitriliruptoraceae 98.08%, f__Egicoccaceae(o__Egicoccales) 1.92%
f__DTU022	52	2	f__Syntrophomonadaceae(o__Clostridiales) 96.15%, f__(o__Burkholderiales) 3.85%
f__CAG-1000	52	4	f__(o__Burkholderiales) 80.77%, f__Clostridiaceae(o__Clostridiales) 11.54%, f__Mycoplasmataceae(o__Mycoplasmatales) 5.77%, f__Erysipelotrichaceae(o__Erysipelotrichales) 1.92%
f__LS-SOB	52	3	f__(o__Burkholderiales) 76.92%, f__Acidiferrobacteraceae(o__Acidiferrobacterales) 21.15%, f__Acidithiobacillaceae(o__Acidithiobacillales) 1.92%
f__TK06	52	3	f__Microthrixaceae 48.08%, f__Acidimicrobiaceae 40.38%, f__(o__Burkholderiales) 11.54%
f__Acetivibrionaceae	51	3	f__Hungateiclostridiaceae(o__Clostridiales) 82.35%, f__Clostridiaceae(o__Clostridiales) 9.8%, f__(o__Burkholderiales) 7.84%
f__NAC60-12	50	1	f__(o__Burkholderiales) 100.0%
f__Thiomicrospiraceae	50	2	f__Piscirickettsiaceae(o__Thiotrichales) 88.0%, f__(o__Burkholderiales) 12.0%
f__D2472	49	1	f__(o__Burkholderiales) 100.0%
f__Dialisteraceae	49	2	f__Veillonellaceae 97.96%, f__(o__Burkholderiales) 2.04%
f__Peptoniphilaceae	49	2	f__Peptoniphilaceae 93.88%, f__(o__Burkholderiales) 6.12%
f__Maricaulaceae	49	3	f__Hyphomonadaceae(o__Rhodobacterales) 91.84%, f__(o__Burkholderiales) 6.12%, f__Caulobacteraceae 2.04%
f__UBA1067	48	2	f__(o__Burkholderiales) 97.92%, f__Lentisphaeraceae(o__Lentisphaerales) 2.08%
f__Smithellaceae	48	2	f__Syntrophaceae(o__Syntrophobacterales) 87.5%, f__(o__Burkholderiales) 12.5%
f__Mariprofundaceae	48	2	f__(o__Burkholderiales) 72.92%, f__Mariprofundaceae 27.08%
f__Izemoplasmataceae	47	1	f__(o__Burkholderiales) 100.0%
f__TCS55	47	1	f__(o__Burkholderiales) 100.0%
f__Thermotogaceae	47	2	f__Thermotogaceae 97.87%, f__(o__Burkholderiales) 2.13%
f__Syntrophomonadaceae	47	2	f__Syntrophomonadaceae(o__Clostridiales) 97.87%, f__(o__Burkholderiales) 2.13%
f__Gaiellaceae	46	2	f__(o__Burkholderiales) 97.83%, f__Gaiellaceae 2.17%
f__Desulfitobacteriaceae	45	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__SG8-39	45	1	f__ 100.0%
f__UBA12049	45	1	f__(o__Burkholderiales) 100.0%
f__Dermabacteraceae	45	2	f__Dermabacteraceae(o__Micrococcales) 97.78%, f__Corynebacteriaceae(o__Corynebacteriales) 2.22%
f__EnvOPS12	45	2	f__(o__Burkholderiales) 95.56%, f__Anaerolineaceae 4.44%
f__Solirubrobacteraceae	45	4	f__(o__Burkholderiales) 80.0%, f__Solirubrobacteraceae 6.67%, f__Conexibacteraceae 6.67%, f__Patulibacteraceae 6.67%
f__Wenzhouxiangellaceae	45	2	f__Wenzhouxiangellaceae(o__Chromatiales) 77.78%, f__(o__Burkholderiales) 22.22%
f__Gallionellaceae	45	2	f__Gallionellaceae(o__Nitrosomonadales) 68.89%, f__ 31.11%
f__Puniceispirillaceae	44	2	f__(o__Burkholderiales) 86.36%, f__Rhodospirillaceae(o__Rhodospirillales) 13.64%
f__Thermoanaerobacteraceae	44	3	f__Thermoanaerobacteraceae 72.73%, f__Thermoanaerobacterales Family III. Incertae Sedis 25.0%, f__Syntrophomonadaceae(o__Clostridiales) 2.27%
f__Marinomonadaceae	43	1	f__Oceanospirillaceae(o__Oceanospirillales) 100.0%
f__UBA10151	42	1	f__(o__Burkholderiales) 100.0%
f__F082	42	2	f__(o__Burkholderiales) 97.62%, f__Lentimicrobiaceae 2.38%
f__CAG-917	42	6	f__(o__Burkholderiales) 57.14%, f__Catabacteriaceae(o__Clostridiales) 26.19%, f__Clostridiaceae(o__Clostridiales) 7.14%, f__Ruminococcaceae(o__Clostridiales) 4.76%, f__Acidaminococcaceae(o__Acidaminococcales) 2.38%, f__Christensenellaceae(o__Clostridiales) 2.38%
f__Halobacillaceae	41	1	f__Bacillaceae 100.0%
f__Kosmotogaceae	41	2	f__Kosmotogaceae(o__Kosmotogales) 75.61%, f__(o__Burkholderiales) 24.39%
f__Cloacimonadaceae	40	1	f__(o__Burkholderiales) 100.0%
f__P2-11E	40	1	f__(o__Burkholderiales) 100.0%
f__MFAQ01	39	1	f__(o__Burkholderiales) 100.0%
f__UBA1539	39	1	f__(o__Burkholderiales) 100.0%
f__MB11C04	39	2	f__(o__Burkholderiales) 97.44%, f__Puniceicoccaceae(o__Puniceicoccales) 2.56%
f__Planctomycetaceae	39	2	f__Planctomycetaceae 74.36%, f__(o__Burkholderiales) 25.64%
f__Borkfalkiaceae	39	5	f__(o__Burkholderiales) 66.67%, f__Catabacteriaceae(o__Clostridiales) 25.64%, f__Acetobacteraceae(o__Rhodospirillales) 2.56%, f__Clostridiaceae(o__Clostridiales) 2.56%, f__Candidatus Borkfalkiaceae(o__Candidatus Borkfalkiales) 2.56%
f__Salinibacteraceae	39	3	f__Rhodothermaceae(o__Bacteroidetes Order II. Incertae sedis) 51.28%, f__(o__Burkholderiales) 35.9%, f__Salinibacteraceae 12.82%
f__UBA8260	38	1	f__(o__Burkholderiales) 100.0%
f__Pedosphaeraceae	38	2	f__Verrucomicrobia subdivision 3(o__Verrucomicrobiales) 94.74%, f__(o__Burkholderiales) 5.26%
f__Prolixibacteraceae	38	2	f__Prolixibacteraceae(o__Marinilabiliales) 86.84%, f__(o__Burkholderiales) 13.16%
f__Hyphomicrobiaceae	38	2	f__Hyphomicrobiaceae 76.32%, f__(o__Burkholderiales) 23.68%
f__Puniceicoccaceae	38	3	f__(o__Burkholderiales) 63.16%, f__Puniceicoccaceae(o__Puniceicoccales) 34.21%, f__Opitutaceae 2.63%
f__GWA2-41-24	37	1	f__(o__Burkholderiales) 100.0%
f__UBA9959	37	1	f__(o__Burkholderiales) 100.0%
f__UBA3495	37	1	f__(o__Burkholderiales) 100.0%
f__Chlorobiaceae	37	2	f__Chlorobiaceae 97.3%, f__(o__Burkholderiales) 2.7%
f__Acidithiobacillaceae	37	2	f__Acidithiobacillaceae 97.3%, f__Nitrospiraceae(o__Nitrospirales) 2.7%
f__Geobacteraceae	37	2	f__Geobacteraceae(o__Desulfuromonadales) 97.3%, f__(o__Burkholderiales) 2.7%
f__Psychromonadaceae	37	3	f__Moritellaceae(o__Alteromonadales) 59.46%, f__Psychromonadaceae(o__Alteromonadales) 37.84%, f__(o__Burkholderiales) 2.7%
f__Caldicellulosiruptoraceae	36	1	f__Thermoanaerobacterales Family III. Incertae Sedis(o__Thermoanaerobacterales) 100.0%
f__Sulfurovaceae	36	1	f__(o__Burkholderiales) 100.0%
f__Staskawiczbacteraceae	36	1	f__(o__Burkholderiales) 100.0%
f__Pyrinomonadaceae	36	2	f__(o__Burkholderiales) 97.22%, f__Pyrinomonadaceae(o__Blastocatellales) 2.78%
f__Chromatiaceae	36	3	f__Chromatiaceae 91.67%, f__Thiotrichaceae(o__Thiotrichales) 5.56%, f__(o__Burkholderiales) 2.78%
f__Blattabacteriaceae	36	2	f__Blattabacteriaceae 61.11%, f__(o__Burkholderiales) 38.89%
f__Domibacillaceae	35	1	f__Bacillaceae 100.0%
f__Anaerohalophaeraceae	35	1	f__(o__Burkholderiales) 100.0%
f__SKNL01	35	1	f__(o__Burkholderiales) 100.0%
f__CAG-288	35	2	f__(o__Burkholderiales) 94.29%, f__Clostridiaceae(o__Clostridiales) 5.71%
f__Marinilabiliaceae	35	3	f__Marinilabiliaceae(o__Marinilabiliales) 91.43%, f__(o__Burkholderiales) 5.71%, f__Cytophagaceae(o__Cytophagales) 2.86%
f__CAG-611	35	4	f__(o__Burkholderiales) 82.86%, f__Clostridiaceae(o__Clostridiales) 8.57%, f__Mycoplasmataceae(o__Mycoplasmatales) 5.71%, f__Bacillaceae(o__Bacillales) 2.86%
f__CAG-239	35	4	f__Rhodospirillaceae(o__Rhodospirillales) 48.57%, f__(o__Burkholderiales) 42.86%, f__Acetobacteraceae(o__Rhodospirillales) 5.71%, f__Lactobacillaceae(o__Lactobacillales) 2.86%
f__GWF2-40-263	34	1	f__(o__Burkholderiales) 100.0%
f__Ignavibacteriaceae	34	2	f__(o__Burkholderiales) 97.06%, f__Ignavibacteriaceae 2.94%
f__Gemmatimonadaceae	34	2	f__(o__Burkholderiales) 82.35%, f__Gemmatimonadaceae 17.65%
f__PJMF01	33	1	f__(o__Burkholderiales) 100.0%
f__Demequinaceae	33	2	f__Demequinaceae(o__Micrococcales) 96.97%, f__(o__Burkholderiales) 3.03%
f__Desulfocapsaceae	33	2	f__Desulfobulbaceae(o__Desulfobacterales) 90.91%, f__(o__Burkholderiales) 9.09%
f__2-01-FULL-45-33	31	1	f__(o__Burkholderiales) 100.0%
f__Sedimentibacteraceae	31	1	f__(o__Burkholderiales) 100.0%
f__Bacillaceae_B	30	1	f__Bacillaceae 100.0%
f__AB-539-J10	30	1	f__(o__Burkholderiales) 100.0%
f__BACL11	30	1	f__(o__Burkholderiales) 100.0%
f__Petrotogaceae	30	2	f__Petrotogaceae 93.33%, f__Thermotogaceae(o__Thermotogales) 6.67%
f__Leptospirillaceae	30	2	f__Nitrospiraceae(o__Nitrospirales) 76.67%, f__(o__Burkholderiales) 23.33%
f__Bdellovibrionaceae	30	2	f__Bdellovibrionaceae 73.33%, f__(o__Burkholderiales) 26.67%
f__UBA1268	30	3	f__Planctomycetaceae(o__Planctomycetales) 66.67%, f__(o__Burkholderiales) 30.0%, f__Phycisphaeraceae(o__Phycisphaerales) 3.33%
f__RS24	30	3	f__Rhodobiaceae(o__Rhizobiales) 60.0%, f__(o__Burkholderiales) 36.67%, f__Phyllobacteriaceae(o__Rhizobiales) 3.33%
f__UBA8592	30	3	f__Acidimicrobiaceae 56.67%, f__Microthrixaceae 30.0%, f__(o__Burkholderiales) 13.33%
f__Kribbellaceae	29	1	f__Nocardioidaceae 100.0%
f__UBA2206	29	1	f__(o__Burkholderiales) 100.0%
f__UBA11359_A	29	1	f__(o__Burkholderiales) 100.0%
f__SC72	29	1	f__(o__Burkholderiales) 100.0%
f__Bipolaricaulaceae	29	1	f__(o__Burkholderiales) 100.0%
f__UBA826	29	1	f__(o__Burkholderiales) 100.0%
f__UBA6906	29	1	f__(o__Burkholderiales) 100.0%
f__PUMT01	29	1	f__(o__Burkholderiales) 100.0%
f__S36-B12	29	2	f__(o__Burkholderiales) 96.55%, f__Rubricoccaceae(o__Rhodothermales) 3.45%
f__Rubidibacteraceae	29	3	f__(o__Burkholderiales) 89.66%, f__Aphanothecaceae(o__Chroococcales) 6.9%, f__Synechococcaceae(o__Synechococcales) 3.45%
f__Salibacteraceae	29	3	f__(o__Burkholderiales) 86.21%, f__Crocinitomicaceae 10.34%, f__Cryomorphaceae 3.45%
f__DEV007	29	3	f__(o__Burkholderiales) 55.17%, f__Akkermansiaceae 27.59%, f__Verrucomicrobiaceae 17.24%
f__Saccharofermentanaceae	29	3	f__(o__Burkholderiales) 41.38%, f__Hungateiclostridiaceae(o__Clostridiales) 31.03%, f__Ruminococcaceae(o__Clostridiales) 27.59%
f__Vagococcaceae	28	1	f__Enterococcaceae 100.0%
f__Salinicoccaceae	28	1	f__Staphylococcaceae(o__Bacillales) 100.0%
f__CF-121	28	1	f__(o__Burkholderiales) 100.0%
f__Eubacteriaceae	28	3	f__Eubacteriaceae(o__Clostridiales) 92.86%, f__Clostridiaceae(o__Clostridiales) 3.57%, f__(o__Burkholderiales) 3.57%
f__Sulfurospirillaceae	28	2	f__Campylobacteraceae 92.86%, f__(o__Burkholderiales) 7.14%
f__Synergistaceae	28	2	f__Synergistaceae 89.29%, f__(o__Burkholderiales) 10.71%
f__Salisediminibacteriaceae	28	3	f__Bacillaceae 89.29%, f__Sporolactobacillaceae 7.14%, f__Pseudonocardiaceae(o__Pseudonocardiales) 3.57%
f__Fimbriimonadaceae	28	3	f__Chthonomonadaceae(o__Chthonomonadales) 67.86%, f__(o__Burkholderiales) 28.57%, f__Fimbriimonadaceae 3.57%
f__Gemmataceae	28	3	f__(o__Burkholderiales) 60.71%, f__Gemmataceae(o__Planctomycetales) 25.0%, f__Planctomycetaceae(o__Planctomycetales) 14.29%
f__Phormidesmiaceae	28	5	f__Leptolyngbyaceae(o__Synechococcales) 50.0%, f__(o__Burkholderiales) 32.14%, f__Prochlorotrichaceae(o__Synechococcales) 10.71%, f__Synechococcaceae(o__Synechococcales) 3.57%, f__Oscillatoriaceae(o__Oscillatoriales) 3.57%
f__UBA9934	27	1	f__(o__Burkholderiales) 100.0%
f__UBA12405	27	1	f__(o__Burkholderiales) 100.0%
f__Fen-1088	27	1	f__(o__Burkholderiales) 100.0%
f__CAG-822	27	2	f__(o__Burkholderiales) 96.3%, f__Acholeplasmataceae(o__Acholeplasmatales) 3.7%
f__UBA2999	27	2	f__(o__Burkholderiales) 96.3%, f__Acidobacteriaceae(o__Acidobacteriales) 3.7%
f__Aminobacteriaceae	27	2	f__Synergistaceae 92.59%, f__(o__Burkholderiales) 7.41%
f__Methyloligellaceae	27	2	f__(o__Burkholderiales) 70.37%, f__Hyphomicrobiaceae 29.63%
f__Polyangiaceae	27	3	f__(o__Burkholderiales) 51.85%, f__Polyangiaceae(o__Myxococcales) 44.44%, f__Labilitrichaceae(o__Myxococcales) 3.7%
f__Anaerotignaceae	27	4	f__Lachnospiraceae(o__Clostridiales) 48.15%, f__(o__Burkholderiales) 40.74%, f__Clostridiaceae(o__Clostridiales) 7.41%, f__Clostridiales Family XIII. Incertae Sedis(o__Clostridiales) 3.7%
f__Caloramatoraceae	26	1	f__Clostridiaceae 100.0%
f__Brochotrichaceae	26	1	f__Listeriaceae(o__Bacillales) 100.0%
f__Desulfonatronovibrionaceae	26	1	f__Desulfohalobiaceae 100.0%
f__UBA10030	26	1	f__(o__Burkholderiales) 100.0%
f__Brocadiaceae	26	2	f__Candidatus Brocadiaceae 69.23%, f__(o__Burkholderiales) 30.77%
f__TMED25	26	2	f__(o__Burkholderiales) 53.85%, f__Rhodobiaceae(o__Rhizobiales) 46.15%
f__Wohlfahrtiimonadaceae	25	1	f__(o__Burkholderiales) 100.0%
f__GWC2-37-73	25	1	f__(o__Burkholderiales) 100.0%
f__S15-B10	25	1	f__(o__Burkholderiales) 100.0%
f__Desulfobacteraceae	25	2	f__Desulfobacteraceae 92.0%, f__(o__Burkholderiales) 8.0%
f__Competibacteraceae	25	2	f__Candidatus Competibacteraceae(o__) 88.0%, f__(o__Burkholderiales) 12.0%
f__Nitrospinaceae	25	2	f__Nitrospinaceae 68.0%, f__(o__Burkholderiales) 32.0%
f__Tissierellaceae	25	3	f__(o__Burkholderiales) 60.0%, f__Tissierellaceae 36.0%, f__Actinomycetaceae(o__Actinomycetales) 4.0%
f__Nevskiaceae	24	1	f__Sinobacteraceae 100.0%
f__Kryptoniaceae	24	1	f__(o__Burkholderiales) 100.0%
f__Bin127	24	1	f__(o__Burkholderiales) 100.0%
f__Rs-D84	24	1	f__(o__Burkholderiales) 100.0%
f__SLAD01	24	1	f__(o__Burkholderiales) 100.0%
f__Moorellaceae	24	2	f__Thermoanaerobacteraceae(o__Thermoanaerobacterales) 95.83%, f__Peptococcaceae(o__Clostridiales) 4.17%
f__Sporolactobacillaceae	24	2	f__Sporolactobacillaceae 91.67%, f__Bacillaceae 8.33%
f__Pseudopelobacteraceae	24	2	f__Geobacteraceae(o__Desulfuromonadales) 91.67%, f__Desulfuromonadaceae(o__Desulfuromonadales) 8.33%
f__Parvibaculaceae	24	2	f__Rhodobiaceae(o__Rhizobiales) 87.5%, f__(o__Burkholderiales) 12.5%
f__UBA8932	24	2	f__Spirochaetaceae(o__Spirochaetales) 79.17%, f__(o__Burkholderiales) 20.83%
f__Marinococcaceae	24	5	f__Bacillaceae 70.83%, f__(o__Burkholderiales) 16.67%, f__Rhodobacteraceae(o__Rhodobacterales) 4.17%, f__Sporolactobacillaceae 4.17%, f__Glycomycetaceae(o__Glycomycetales) 4.17%
f__Ketobacteraceae	24	3	f__(o__Burkholderiales) 70.83%, f__Alcanivoracaceae(o__Oceanospirillales) 25.0%, f__Moraxellaceae 4.17%
f__Desulfurivibrionaceae	24	2	f__Desulfobulbaceae(o__Desulfobacterales) 62.5%, f__(o__Burkholderiales) 37.5%
f__Nap2-2B	24	2	f__(o__Burkholderiales) 54.17%, f__Peptococcaceae(o__Clostridiales) 45.83%
f__UBA9933	23	1	f__(o__Burkholderiales) 100.0%
f__Vicingaceae	23	1	f__(o__Burkholderiales) 100.0%
f__CAG-302	23	2	f__(o__Burkholderiales) 86.96%, f__Clostridiaceae(o__Clostridiales) 13.04%
f__Rhodospirillaceae	23	3	f__Rhodospirillaceae 73.91%, f__(o__Burkholderiales) 21.74%, f__Rhodobiaceae(o__Rhizobiales) 4.35%
f__Cyanobacteriaceae	23	6	f__Synechococcaceae(o__Synechococcales) 52.17%, f__Cyanobacteriaceae(o__Chroococcales) 21.74%, f__Chroococcaceae(o__Chroococcales) 13.04%, f__Leptolyngbyaceae(o__Synechococcales) 4.35%, f__Pseudanabaenaceae(o__Synechococcales) 4.35%, f__(o__Burkholderiales) 4.35%
f__CG1-02-47-37	22	1	f__(o__Burkholderiales) 100.0%
f__TMED-70	22	1	f__(o__Burkholderiales) 100.0%
f__Alicyclobacillaceae	22	2	f__Alicyclobacillaceae(o__Bacillales) 95.45%, f__(o__Burkholderiales) 4.55%
f__Trueperaceae	22	2	f__Trueperaceae 95.45%, f__Deinococcaceae 4.55%
f__TMED127	22	2	f__(o__Burkholderiales) 86.36%, f__Pelagibacteraceae(o__Pelagibacterales) 13.64%
f__Melioribacteraceae	22	2	f__(o__Burkholderiales) 81.82%, f__Melioribacteraceae 18.18%
f__CAG-977	22	3	f__(o__Burkholderiales) 81.82%, f__Rhodospirillaceae(o__Rhodospirillales) 13.64%, f__Acetobacteraceae(o__Rhodospirillales) 4.55%
f__Syntrophorhabdaceae	22	2	f__(o__Burkholderiales) 63.64%, f__Syntrophorhabdaceae(o__Syntrophobacterales) 36.36%
f__Ktedonobacteraceae	22	5	f__(o__Burkholderiales) 54.55%, f__Ktedonobacteraceae 13.64%, f__Thermogemmatisporaceae(o__Thermogemmatisporales) 13.64%, f__Dictyobacteraceae 13.64%, f__Thermosporotrichaceae 4.55%
f__UBA1242	22	2	f__Catabacteriaceae(o__Clostridiales) 50.0%, f__(o__Burkholderiales) 50.0%
f__2-02-FULL-39-11	21	1	f__(o__Burkholderiales) 100.0%
f__Amesbacteraceae	21	1	f__(o__Burkholderiales) 100.0%
f__UBA12075	21	1	f__(o__Burkholderiales) 100.0%
f__UBA11713	21	1	f__(o__Burkholderiales) 100.0%
f__WCHB1-69	21	1	f__(o__Burkholderiales) 100.0%
f__Thermodesulfobacteriaceae	21	2	f__Thermodesulfobacteriaceae 95.24%, f__(o__Burkholderiales) 4.76%
f__Desulfobulbaceae	21	2	f__Desulfobulbaceae(o__Desulfobacterales) 90.48%, f__(o__Burkholderiales) 9.52%
f__Gemellaceae	21	3	f__(o__Burkholderiales) 90.48%, f__Staphylococcaceae(o__Bacillales) 4.76%, f__Streptococcaceae(o__Lactobacillales) 4.76%
f__UBA8154	21	2	f__Syntrophomonadaceae(o__Clostridiales) 90.48%, f__(o__Burkholderiales) 9.52%
f__Cycloclasticaceae	21	2	f__Piscirickettsiaceae(o__Thiotrichales) 85.71%, f__Methylococcaceae 14.29%
f__Thermovirgaceae	21	2	f__Synergistaceae 80.95%, f__(o__Burkholderiales) 19.05%
f__Cellulosilyticaceae	21	2	f__(o__Burkholderiales) 71.43%, f__Lachnospiraceae(o__Clostridiales) 28.57%
f__Beggiatoaceae	21	2	f__Thiotrichaceae(o__Thiotrichales) 66.67%, f__(o__Burkholderiales) 33.33%
f__Magnetospirillaceae	20	1	f__Rhodospirillaceae 100.0%
f__UBA10102	20	1	f__(o__Burkholderiales) 100.0%
f__UBA11712	20	1	f__(o__Burkholderiales) 100.0%
f__Kpj58rc	20	1	f__(o__Burkholderiales) 100.0%
f__UBA1611	20	1	f__(o__Burkholderiales) 100.0%
f__UBA1096	20	2	f__(o__Burkholderiales) 95.0%, f__Verrucomicrobia subdivision 3(o__Verrucomicrobiales) 5.0%
f__Sulfurifustaceae	20	2	f__(o__Burkholderiales) 90.0%, f__Acidiferrobacteraceae 10.0%
f__CAG-382	20	2	f__(o__Burkholderiales) 90.0%, f__Ruminococcaceae(o__Clostridiales) 10.0%
f__Parachlamydiaceae	20	3	f__Parachlamydiaceae 85.0%, f__Chlamydiaceae(o__Chlamydiales) 10.0%, f__(o__Burkholderiales) 5.0%
f__UBA4486	20	2	f__(o__Burkholderiales) 80.0%, f__Thiotrichaceae(o__Thiotrichales) 20.0%
f__Barnesiellaceae	20	3	f__Barnesiellaceae 70.0%, f__Bacteroidaceae 15.0%, f__Porphyromonadaceae 15.0%
f__UBA10092	19	1	f__(o__Burkholderiales) 100.0%
f__Aquisalimonadaceae	19	1	f__Ectothiorhodospiraceae(o__Chromatiales) 100.0%
f__Litoricolaceae	19	2	f__(o__Burkholderiales) 94.74%, f__Litoricolaceae(o__Oceanospirillales) 5.26%
f__UBA9935	19	2	f__Nitrospiraceae(o__Nitrospirales) 78.95%, f__(o__Burkholderiales) 21.05%
f__Caldibacillaceae	18	1	f__Bacillaceae 100.0%
