GTDB R95 family	Number of genomes	Number of NCBI families	List of NCBI families
f__Flavobacteriaceae	1474	6	f__Flavobacteriaceae 95.05%, f__(o__Burkholderiales) 4.14%, f__Cryomorphaceae 0.54%, f__Cytophagaceae(o__Cytophagales) 0.14%, f__Alteromonadaceae(o__Alteromonadales) 0.07%, f__Campylobacteraceae(o__Campylobacterales) 0.07%
f__Streptomycetaceae	1425	4	f__Streptomycetaceae 99.51%, f__(o__Burkholderiales) 0.28%, f__Streptosporangiaceae(o__Streptosporangiales) 0.14%, f__Actinospicaceae(o__Catenulisporales) 0.07%
f__Rhodobacteraceae	1239	3	f__Rhodobacteraceae 96.37%, f__(o__Burkholderiales) 3.55%, f__Rhodospirillaceae(o__Rhodospirillales) 0.08%
f__Bifidobacteriaceae	1129	3	f__Bifidobacteriaceae(o__Bifidobacteriales) 99.29%, f__(o__Burkholderiales) 0.53%, f__Peptoniphilaceae(o__Tissierellales) 0.18%
f__Legionellaceae	1041	2	f__Legionellaceae 98.94%, f__(o__Burkholderiales) 1.06%
f__Microbacteriaceae	1041	6	f__Microbacteriaceae(o__Micrococcales) 95.68%, f__(o__Burkholderiales) 3.94%, f__Cellulomonadaceae(o__Micrococcales) 0.1%, f__Micrococcaceae(o__Micrococcales) 0.1%, f__Hymenobacteraceae(o__Cytophagales) 0.1%, f__Mycobacteriaceae(o__Corynebacteriales) 0.1%
f__Bacillaceae	992	4	f__Bacillaceae 99.5%, f__Paenibacillaceae 0.3%, f__Streptococcaceae(o__Lactobacillales) 0.1%, f__Planococcaceae 0.1%
f__Sphingomonadaceae	955	9	f__Sphingomonadaceae 76.65%, f__Erythrobacteraceae 17.17%, f__(o__Burkholderiales) 5.55%, f__Comamonadaceae(o__Burkholderiales) 0.1%, f__Neisseriaceae(o__Neisseriales) 0.1%, f__Caulobacteraceae(o__Caulobacterales) 0.1%, f__Micrococcaceae(o__Micrococcales) 0.1%, f__Bacillaceae(o__Bacillales) 0.1%, f__Pseudomonadaceae(o__Pseudomonadales) 0.1%
f__Clostridiaceae	843	2	f__Clostridiaceae 99.76%, f__(o__Burkholderiales) 0.24%
f__Alteromonadaceae	753	6	f__Pseudoalteromonadaceae(o__Alteromonadales) 40.5%, f__Alteromonadaceae(o__Alteromonadales) 30.68%, f__Idiomarinaceae(o__Alteromonadales) 15.94%, f__Colwelliaceae(o__Alteromonadales) 7.17%, f__Chromatiaceae(o__Chromatiales) 4.38%, f__(o__Burkholderiales) 1.33%
f__Cyanobiaceae	614	6	f__Prochloraceae(o__Synechococcales) 78.18%, f__Synechococcaceae(o__Synechococcales) 19.54%, f__(o__Burkholderiales) 1.47%, f__Merismopediaceae(o__Synechococcales) 0.49%, f__Propionibacteriaceae(o__Propionibacteriales) 0.16%, f__Aphanothecaceae(o__Chroococcales) 0.16%
f__Micrococcaceae	551	3	f__Micrococcaceae(o__Micrococcales) 98.73%, f__(o__Burkholderiales) 0.73%, f__Microbacteriaceae(o__Micrococcales) 0.54%
f__Acutalibacteraceae	548	6	f__Ruminococcaceae(o__Clostridiales) 70.44%, f__(o__Burkholderiales) 24.45%, f__Clostridiaceae(o__Clostridiales) 3.1%, f__Eubacteriaceae(o__Clostridiales) 1.64%, f__Carnobacteriaceae(o__Lactobacillales) 0.18%, f__Hungateiclostridiaceae(o__Clostridiales) 0.18%
f__Weeksellaceae	532	3	f__Flavobacteriaceae 93.98%, f__(o__Burkholderiales) 5.83%, f__Campylobacteraceae(o__Campylobacterales) 0.19%
f__Paenibacillaceae	520	3	f__Paenibacillaceae(o__Bacillales) 98.65%, f__Bacillaceae(o__Bacillales) 0.96%, f__(o__Burkholderiales) 0.38%
f__Propionibacteriaceae	472	3	f__Propionibacteriaceae 98.09%, f__Nocardioidaceae 1.27%, f__(o__Burkholderiales) 0.64%
f__Ruminococcaceae	470	5	f__Ruminococcaceae(o__Clostridiales) 91.28%, f__(o__Burkholderiales) 5.11%, f__Clostridiaceae(o__Clostridiales) 1.49%, f__Eubacteriaceae(o__Clostridiales) 1.49%, f__Clostridiales Family XIII. Incertae Sedis(o__Clostridiales) 0.64%
f__Coriobacteriaceae	466	2	f__Coriobacteriaceae 99.79%, f__(o__Burkholderiales) 0.21%
f__Aeromonadaceae	421	2	f__Aeromonadaceae(o__Aeromonadales) 99.76%, f__(o__Burkholderiales) 0.24%
f__Oscillospiraceae	417	5	f__(o__Burkholderiales) 75.3%, f__Oscillospiraceae(o__Clostridiales) 13.67%, f__Ruminococcaceae(o__Clostridiales) 9.59%, f__Clostridiaceae(o__Clostridiales) 1.2%, f__Lachnospiraceae(o__Clostridiales) 0.24%
f__Xanthobacteraceae	380	6	f__Bradyrhizobiaceae 81.84%, f__(o__Burkholderiales) 9.21%, f__Xanthobacteraceae 5.53%, f__Hyphomicrobiaceae 2.89%, f__Rhodobacteraceae(o__Rhodobacterales) 0.26%, f__Rhizobiaceae 0.26%
f__Muribaculaceae	379	7	f__Porphyromonadaceae 53.3%, f__Muribaculaceae 21.11%, f__(o__Burkholderiales) 13.98%, f__Prevotellaceae 10.82%, f__Bacteroidaceae 0.26%, f__Synergistaceae(o__Synergistales) 0.26%, f__Barnesiellaceae 0.26%
f__Acetobacteraceae	345	3	f__Acetobacteraceae(o__Rhodospirillales) 97.39%, f__(o__Burkholderiales) 2.03%, f__Rhodospirillaceae(o__Rhodospirillales) 0.58%
f__Beijerinckiaceae	313	9	f__Methylobacteriaceae 46.96%, f__(o__Burkholderiales) 14.38%, f__Bradyrhizobiaceae 14.06%, f__Methylocystaceae 12.46%, f__Beijerinckiaceae 7.67%, f__Chelatococcaceae 2.88%, f__Salinarimonadaceae 0.96%, f__Streptomycetaceae(o__Streptomycetales) 0.32%, f__Roseiarcaceae 0.32%
f__Sphingobacteriaceae	301	3	f__Sphingobacteriaceae 97.34%, f__(o__Burkholderiales) 2.33%, f__Rhodospirillaceae(o__Rhodospirillales) 0.33%
f__Micromonosporaceae	301	3	f__Micromonosporaceae(o__Micromonosporales) 94.02%, f__Glycomycetaceae(o__Glycomycetales) 4.98%, f__(o__Burkholderiales) 1.0%
f__Planococcaceae	299	2	f__Bacillaceae 50.84%, f__Planococcaceae 49.16%
f__Actinomycetaceae	297	11	f__Actinomycetaceae 91.58%, f__Bogoriellaceae(o__Micrococcales) 4.04%, f__(o__Burkholderiales) 1.01%, f__Dermacoccaceae(o__Micrococcales) 0.67%, f__Promicromonosporaceae(o__Micrococcales) 0.67%, f__Sanguibacteraceae(o__Micrococcales) 0.34%, f__Cellulomonadaceae(o__Micrococcales) 0.34%, f__Streptomycetaceae(o__Streptomycetales) 0.34%, f__Ruaniaceae(o__Micrococcales) 0.34%, f__Bacillaceae(o__Bacillales) 0.34%, f__Tissierellaceae(o__Tissierellales) 0.34%
