GTDB R95 species	Number of genomes	Number of NCBI species	List of NCBI species
s__Secundilactobacillus odoratitofui	2	1	s__Lactobacillus odoratitofui 100.0%
s__Vibrio splendidus_F	2	1	s__Vibrio splendidus 100.0%
s__Liquorilactobacillus satsumensis	2	1	s__Lactobacillus satsumensis 100.0%
s__Psychrobacter sp001921745	2	1	s__(g__Flavobacterium) 100.0%
s__Acidovorax_D sp001428665	2	1	s__(g__Flavobacterium) 100.0%
s__Methylobacterium sp001542815	2	1	s__(g__Flavobacterium) 100.0%
s__Cognatishimia activa	2	1	s__Thalassobius activus 100.0%
s__Lentilactobacillus rapi	2	1	s__Lactobacillus rapi 100.0%
s__Sphingopyxis sp001468285	2	1	s__(g__Flavobacterium) 100.0%
s__Dellaglioa algida	2	1	s__Lactobacillus algidus 100.0%
s__Bacillus_AA praedii	2	1	s__Bacillus praedii 100.0%
s__Lactococcus garvieae_A	2	1	s__Lactococcus garvieae 100.0%
s__Companilactobacillus futsaii	2	1	s__Lactobacillus futsaii 100.0%
s__Apilactobacillus ozensis	2	1	s__Lactobacillus ozensis 100.0%
s__Legionella_C rubrilucens	2	1	s__Legionella rubrilucens 100.0%
s__Paenibacillus_E sp001426375	2	1	s__(g__Flavobacterium) 100.0%
s__Guyparkeria sp001641825	2	1	s__(g__Flavobacterium) 100.0%
s__Secundilactobacillus kimchicus	2	1	s__Lactobacillus kimchicus 100.0%
s__Legionella_C erythra	2	1	s__Legionella erythra 100.0%
s__Pauljensenia odontolytica_C	2	1	s__Schaalia odontolytica 100.0%
s__Kitasatospora sp001424875	2	1	s__(g__Flavobacterium) 100.0%
s__Altererythrobacter_B troitsensis	2	1	s__Altererythrobacter troitsensis 100.0%
s__Holzapfelia floricola	2	1	s__Lactobacillus floricola 100.0%
s__Halomonas sp002966495	2	1	s__(g__Flavobacterium) 100.0%
s__Lacticaseibacillus manihotivorans	2	1	s__Lactobacillus manihotivorans 100.0%
s__Lacticaseibacillus nasuensis	2	1	s__Lactobacillus nasuensis 100.0%
s__Glutamicibacter sp900094805	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E monteilii_A	2	1	s__Pseudomonas monteilii 100.0%
s__Companilactobacillus paralimentarius_A	2	1	s__Lactobacillus paralimentarius 100.0%
s__Olsenella sp001457795	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudarthrobacter enclensis	2	1	s__Arthrobacter enclensis 100.0%
s__Bradyrhizobium sp000296215	2	1	s__(g__Flavobacterium) 100.0%
s__Flavobacterium sp001429295	2	1	s__ 100.0%
s__Liquorilactobacillus hordei	2	1	s__Lactobacillus hordei 100.0%
s__Massilia sp001485665	2	1	s__(g__Flavobacterium) 100.0%
s__Tatlockia brunensis	2	1	s__Legionella brunensis 100.0%
s__Streptococcus sp001553685	2	1	s__(g__Flavobacterium) 100.0%
s__Streptococcus oralis_J	2	1	s__Streptococcus oralis 100.0%
s__Lentilactobacillus sunkii	2	1	s__Lactobacillus sunkii 100.0%
s__Companilactobacillus alimentarius	2	1	s__Lactobacillus alimentarius 100.0%
s__Pararhizobium sp001424045	2	1	s__(g__Flavobacterium) 100.0%
s__Devosia sp001425445	2	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_X simplex	2	1	s__Bacillus simplex 100.0%
s__Pseudoalteromonas luteoviolacea_A	2	1	s__Pseudoalteromonas luteoviolacea 100.0%
s__Pseudoalteromonas luteoviolacea_B	2	1	s__Pseudoalteromonas luteoviolacea 100.0%
s__Pseudoalteromonas luteoviolacea_E	2	1	s__Pseudoalteromonas luteoviolacea 100.0%
s__Paenibacillus amylolyticus_A	2	1	s__Paenibacillus amylolyticus 100.0%
s__Allorhizobium sp001429245	2	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_X sp001510645	2	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium canariasense	2	1	s__Mycolicibacterium canariasense 100.0%
s__Streptococcus oralis_C	2	1	s__Streptococcus oralis 100.0%
s__Streptomyces sp001184025	2	1	s__(g__Flavobacterium) 100.0%
s__Levilactobacillus senmaizukei	2	1	s__Lactobacillus senmaizukei 100.0%
s__Pseudovibrio sp001623075	2	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_AA firmus	2	1	s__Bacillus firmus 100.0%
s__Chryseobacterium sp001456155	2	1	s__(g__Flavobacterium) 100.0%
s__Planktomarina sp000981705	2	1	s__(g__Flavobacterium) 100.0%
s__Thioglobus sp001628405	2	1	s__(g__Flavobacterium) 100.0%
s__Maritimibacter sp001626765	2	1	s__(g__Flavobacterium) 100.0%
s__ASP10-02a sp002312935	2	1	s__(g__Flavobacterium) 100.0%
s__Spiro-02 sp001604275	2	1	s__(g__Flavobacterium) 100.0%
s__MED-G52 sp001627375	2	1	s__(g__Flavobacterium) 100.0%
s__DTU015 sp001513185	2	1	s__(g__Flavobacterium) 100.0%
s__Fibro-01 sp001462345	2	1	s__(g__Flavobacterium) 100.0%
s__TCS61 sp001577185	2	1	s__(g__Flavobacterium) 100.0%
s__Fonsibacter sp000364545	2	1	s__(g__Flavobacterium) 100.0%
s__DTU074 sp002385885	2	1	s__(g__Flavobacterium) 100.0%
s__UBA11654 sp001629325	2	1	s__(g__Flavobacterium) 100.0%
s__DTU068 sp001513545	2	1	s__(g__Flavobacterium) 100.0%
s__DTU025 sp001513145	2	1	s__(g__Flavobacterium) 100.0%
s__SCGC-AAA076-P13 sp000385055	2	1	s__(g__Flavobacterium) 100.0%
s__UKL13-2 sp001602455	2	1	s__(g__Flavobacterium) 100.0%
s__DTU072 sp001512685	2	1	s__(g__Flavobacterium) 100.0%
s__DTU059 sp001512555	2	1	s__(g__Flavobacterium) 100.0%
s__Geovibrio sp001603805	2	1	s__(g__Flavobacterium) 100.0%
s__Bosea sp001713455	2	1	s__(g__Flavobacterium) 100.0%
s__Syner-03 sp002306075	2	1	s__(g__Flavobacterium) 100.0%
s__DTU098 sp001512635	2	1	s__(g__Flavobacterium) 100.0%
s__UC5-1-2E3 sp001304875	2	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_C sp000980705	2	1	s__(g__Flavobacterium) 100.0%
s__DTU019 sp001512785	2	1	s__(g__Flavobacterium) 100.0%
s__Bact-11 sp001602845	2	1	s__(g__Flavobacterium) 100.0%
s__Fibrobacter sp001603905	2	1	s__(g__Flavobacterium) 100.0%
s__Fonsibacter sp000510845	2	1	s__(g__Flavobacterium) 100.0%
s__DTU010 sp900018335	2	1	s__(g__Flavobacterium) 100.0%
s__DTU083 sp001512915	2	1	s__(g__Flavobacterium) 100.0%
s__DTU029 sp001512435	2	1	s__(g__Flavobacterium) 100.0%
s__Planktophila sp000378885	2	1	s__(g__Flavobacterium) 100.0%
s__DTU078 sp002385415	2	1	s__(g__Flavobacterium) 100.0%
s__Kryptonium mobilis	2	1	s__Candidatus Thermokryptus mobilis 100.0%
s__DTU027 sp002385745	2	1	s__(g__Flavobacterium) 100.0%
s__DTU065 sp001512545	2	1	s__(g__Flavobacterium) 100.0%
s__Thermoclostridium sp001512485	2	1	s__(g__Flavobacterium) 100.0%
s__DTU013 sp002386045	2	1	s__(g__Flavobacterium) 100.0%
s__UKL13-3 sp001602415	2	1	s__(g__Flavobacterium) 100.0%
s__DTU013 sp002385815	2	1	s__(g__Flavobacterium) 100.0%
s__Tc-Br11-B2g6-7 sp001564055	2	1	s__(g__Flavobacterium) 100.0%
s__Sphingomonas sp001464615	2	1	s__(g__Flavobacterium) 100.0%
s__UBA2030 sp002332755	2	1	s__(g__Flavobacterium) 100.0%
s__Gilliamella apicola_E	2	1	s__Gilliamella apicola 100.0%
s__Gilliamella apicola_F	2	1	s__Gilliamella apicola 100.0%
s__Methylomonas methanica_A	2	1	s__Methylomonas methanica 100.0%
s__Bacillus_W drentensis	2	1	s__Bacillus drentensis 100.0%
s__Mycobacterium sp001953975	2	1	s__(g__Flavobacterium) 100.0%
s__Gilliamella apicola_G	2	1	s__Gilliamella apicola 100.0%
s__Neisseria denitrificans	2	1	s__Bergeriella denitrificans 100.0%
s__Neisseria sp002237445	2	1	s__(g__Flavobacterium) 100.0%
s__Acinetobacter sp001647535	2	1	s__(g__Flavobacterium) 100.0%
s__Muricauda sp001683915	2	1	s__(g__Flavobacterium) 100.0%
s__Vibrio sp001676025	2	1	s__(g__Flavobacterium) 100.0%
s__Synechococcus_C sp001631935	2	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium scrofulaceum_C	2	1	s__Mycobacterium scrofulaceum 100.0%
s__Psychrobacter sp001593285	2	1	s__(g__Flavobacterium) 100.0%
s__Acinetobacter sp001647545	2	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium sp001665605	2	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium peregrinum_B	2	1	s__Mycolicibacterium peregrinum 100.0%
s__Paenibacillus_J sp001721045	2	1	s__(g__Flavobacterium) 100.0%
s__Marinobacter sp001650915	2	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium sp001665535	2	1	s__(g__Flavobacterium) 100.0%
s__Rhizobium sp001692325	2	1	s__(g__Flavobacterium) 100.0%
s__Acetobacter malorum_A	2	1	s__Acetobacter malorum 100.0%
s__Maribacter sp001913155	2	1	s__(g__Flavobacterium) 100.0%
s__LPB0142 sp001856665	2	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium sp001668725	2	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_AH lentus	2	1	s__Bacillus lentus 100.0%
s__Bacillus_W soli	2	1	s__Bacillus soli 100.0%
s__Sphingobium sp001563265	2	1	s__(g__Flavobacterium) 100.0%
s__Sphingomonas sp001557215	2	1	s__(g__Flavobacterium) 100.0%
s__Rhizobium sp900489925	2	1	s__(g__Flavobacterium) 100.0%
s__Porphyrobacter sp001557115	2	1	s__(g__Flavobacterium) 100.0%
s__Proteus sp001722135	2	1	s__(g__Flavobacterium) 100.0%
s__Trichormus sp001548375	2	1	s__(g__Flavobacterium) 100.0%
s__Chryseobacterium sp001677955	2	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium asiaticum_C	2	1	s__Mycobacterium asiaticum 100.0%
s__Microbulbifer sp001641755	2	1	s__(g__Flavobacterium) 100.0%
s__Escherichia sp001660175	2	1	s__(g__Flavobacterium) 100.0%
s__Sphingobacterium sp000938735	2	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_W novalis	2	1	s__Bacillus novalis 100.0%
s__Sulfitobacter sp001635605	2	1	s__(g__Flavobacterium) 100.0%
s__Thalassotalea_A crassostreae	2	1	s__Thalassotalea crassostreae 100.0%
s__FJAT-27916 sp001685035	2	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium koreensis	2	1	s__Mycolicibacillus koreensis 100.0%
s__Mycobacterium celeriflavum	2	1	s__Mycolicibacterium celeriflavum 100.0%
s__Bacillus_AU cohnii	2	1	s__Bacillus cohnii 100.0%
s__Sphingobium sp001650725	2	1	s__(g__Flavobacterium) 100.0%
s__Phenylobacterium sp001557235	2	1	s__(g__Flavobacterium) 100.0%
s__Trichormus sp001597745	2	1	s__(g__Flavobacterium) 100.0%
s__Clostridium_AM magnum	2	1	s__Clostridium magnum 100.0%
s__Sphingomonas sp900109205	2	1	s__(g__Flavobacterium) 100.0%
s__Lysinibacillus sphaericus_D	2	1	s__Lysinibacillus sphaericus 100.0%
s__Phytoplasma oryzae	2	1	s__Candidatus Phytoplasma oryzae 100.0%
s__GCF1875585 sp001547755	2	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium wolinskyi	2	1	s__Mycolicibacterium wolinskyi 100.0%
s__Bacillus_L krulwichiae	2	1	s__Bacillus krulwichiae 100.0%
s__Bordetella_C bronchialis	2	1	s__Bordetella bronchialis 100.0%
s__H1 sp001653155	2	1	s__(g__Flavobacterium) 100.0%
s__Marivivens sp001908835	2	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_W mesonae	2	1	s__Bacillus mesonae 100.0%
s__Streptomyces_F thermoautotrophicus	2	1	s__Streptomyces thermoautotrophicus 100.0%
s__Pseudomonas_E koreensis_D	2	1	s__Pseudomonas koreensis 100.0%
s__Spirillospora formosensis	2	1	s__Actinomadura formosensis 100.0%
s__Morganella psychrotolerans_B	2	1	s__Morganella psychrotolerans 100.0%
s__Planococcus maritimus_B	2	1	s__Planococcus maritimus 100.0%
s__Enterococcus_H canis	2	1	s__Enterococcus canis 100.0%
s__Blautia_A sp900066205	2	1	s__(g__Flavobacterium) 100.0%
s__Thiobacillus sp001899765	2	1	s__(g__Flavobacterium) 100.0%
s__Rhodoglobus sp001725325	2	1	s__(g__Flavobacterium) 100.0%
s__GCA-900066905 sp900066905	2	1	s__(g__Flavobacterium) 100.0%
s__Ga0077555 sp900117415	2	1	s__(g__Flavobacterium) 100.0%
s__CAG-485 sp001701295	2	1	s__(g__Flavobacterium) 100.0%
s__Rhodanobacter sp001899565	2	1	s__(g__Flavobacterium) 100.0%
s__GCA-900066935 sp900066925	2	1	s__(g__Flavobacterium) 100.0%
s__Comamonas_C sp001725255	2	1	s__(g__Flavobacterium) 100.0%
s__Citrobacter freundii_A	2	1	s__Citrobacter freundii 100.0%
s__CAG-95 sp900066375	2	1	s__(g__Flavobacterium) 100.0%
s__CAG-873 sp002633115	2	1	s__(g__Flavobacterium) 100.0%
s__66-474 sp001899805	2	1	s__(g__Flavobacterium) 100.0%
s__UBA7173 sp001701135	2	1	s__(g__Flavobacterium) 100.0%
s__Ferruginibacter sp001898465	2	1	s__(g__Flavobacterium) 100.0%
s__Thiobacillus sp001899305	2	1	s__(g__Flavobacterium) 100.0%
s__GCA-900066575 sp900066385	2	1	s__(g__Flavobacterium) 100.0%
s__Marvinbryantia sp900066075	2	1	s__(g__Flavobacterium) 100.0%
s__Paramuribaculum sp001689565	2	1	s__(g__Flavobacterium) 100.0%
s__Lawsonibacter sp900066825	2	1	s__(g__Flavobacterium) 100.0%
s__Duncaniella sp001701225	2	1	s__(g__Flavobacterium) 100.0%
s__Rhodanobacter sp001898415	2	1	s__(g__Flavobacterium) 100.0%
s__Amulumruptor sp001689515	2	1	s__(g__Flavobacterium) 100.0%
s__GCA-900066135 sp900066135	2	1	s__(g__Flavobacterium) 100.0%
s__Microbacterium sp001898315	2	1	s__(g__Flavobacterium) 100.0%
s__Erwinia dacicola	2	1	s__Candidatus Erwinia dacicola 100.0%
s__RAAC3-TM7-1 sp000503915	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudonocardia sp001725415	2	1	s__(g__Flavobacterium) 100.0%
s__Muribaculum sp001701195	2	1	s__(g__Flavobacterium) 100.0%
s__Devosia sp001899085	2	1	s__(g__Flavobacterium) 100.0%
s__CAG-485 sp001701075	2	1	s__(g__Flavobacterium) 100.0%
s__Acidovorax_C sp001725235	2	1	s__(g__Flavobacterium) 100.0%
s__Thiobacillus sp001897705	2	1	s__(g__Flavobacterium) 100.0%
s__Pigmentiphaga sp001898625	2	1	s__(g__Flavobacterium) 100.0%
s__CACIAM-69d sp001698445	2	1	s__(g__Flavobacterium) 100.0%
s__Staphylococcus saprophyticus_B	2	1	s__Staphylococcus saprophyticus 100.0%
s__Corynebacterium sp001831515	2	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces sp001866675	2	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus flavefaciens_Q	2	1	s__Ruminococcus flavefaciens 100.0%
s__Proteus vulgaris_B	2	1	s__Proteus vulgaris 100.0%
s__Ruminococcus flavefaciens_G	2	1	s__Ruminococcus flavefaciens 100.0%
s__Tolypothrix_B sp002368235	2	1	s__(g__Flavobacterium) 100.0%
s__Granulibacter bethesdensis_B	2	1	s__Granulibacter bethesdensis 100.0%
s__Enterococcus_C canintestini	2	1	s__Enterococcus canintestini 100.0%
s__Syntrophotalea acetylenica	2	1	s__Pelobacter acetylenicus 100.0%
s__Ruminococcus_D sp900119155	2	1	s__(g__Flavobacterium) 100.0%
s__Polynucleobacter sp001870365	2	1	s__(g__Flavobacterium) 100.0%
s__Nitrosospira briensis_A	2	1	s__Nitrosospira briensis 100.0%
s__Buchnera aphidicola_J	2	1	s__Buchnera aphidicola 100.0%
s__Fibrobacter sp900143015	2	1	s__(g__Flavobacterium) 100.0%
s__Pararhizobium rhizosphaerae	2	1	s__Rhizobium rhizosphaerae 100.0%
s__Spiroplasma_A turonicum	2	1	s__Spiroplasma turonicum 100.0%
s__Clostridium_AH fallax	2	1	s__Clostridium fallax 100.0%
s__Corynebacterium sp001807265	2	1	s__(g__Flavobacterium) 100.0%
s__Paenibacillus_G sp900101595	2	1	s__(g__Flavobacterium) 100.0%
s__Arthrobacter_F crystallopoietes	2	1	s__Arthrobacter crystallopoietes 100.0%
s__Mycobacterium kansasii_C	2	1	s__Mycobacterium kansasii 100.0%
s__Pseudomonas_L hussainii	2	1	s__Pseudomonas hussainii 100.0%
s__Pseudomonas_E seleniipraecipitans	2	1	s__Pseudomonas seleniipraecipitans 100.0%
s__Vibrio sp003185995	2	1	s__(g__Flavobacterium) 100.0%
s__Poseidonibacter lekithochrous	2	1	s__Arcobacter lekithochrous 100.0%
s__Fukatsuia symbiotica	2	1	s__Candidatus Fukatsuia symbiotica 100.0%
s__Boudabousia liubingyangii	2	1	s__Actinomyces liubingyangii 100.0%
s__Actinoplanes caeruleus	2	1	s__Couchioplanes caeruleus 100.0%
s__Pararhizobium oryzae	2	1	s__Rhizobium oryzae 100.0%
s__Streptomyces sp001865245	2	1	s__(g__Flavobacterium) 100.0%
s__Spiroplasma sp001886495	2	1	s__(g__Flavobacterium) 100.0%
s__Corynebacterium sp001815985	2	1	s__(g__Flavobacterium) 100.0%
s__MUM-13 sp900112495	2	1	s__(g__Flavobacterium) 100.0%
s__Borreliella mayonii	2	1	s__Borrelia mayonii 100.0%
s__Actinoalloteichus sp001941625	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E costantinii	2	1	s__Pseudomonas costantinii 100.0%
s__Aerococcus sp001809535	2	1	s__(g__Flavobacterium) 100.0%
s__Brevibacterium sp001815905	2	1	s__(g__Flavobacterium) 100.0%
s__Fibrobacter sp900142475	2	1	s__(g__Flavobacterium) 100.0%
s__Pauljensenia sp001838165	2	1	s__(g__Flavobacterium) 100.0%
s__Clostridium_W formicaceticum	2	1	s__Clostridium formicaceticum 100.0%
s__Fibrobacter sp900177805	2	1	s__(g__Flavobacterium) 100.0%
s__Cyanobacterium sp002813895	2	1	s__(g__Flavobacterium) 100.0%
s__Holdemania sp900120005	2	1	s__(g__Flavobacterium) 100.0%
s__Geobacillus sp002042905	2	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium malmoense_B	2	1	s__Mycobacterium malmoense 100.0%
s__Mycobacterium sp001886515	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_A xanthomarina	2	1	s__Pseudomonas xanthomarina 100.0%
s__Fibrobacter sp900142535	2	1	s__(g__Flavobacterium) 100.0%
s__Salinicola sp003206695	2	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces sp001905885	2	1	s__(g__Flavobacterium) 100.0%
s__Flavobacterium sp900129795	2	1	s__ 100.0%
s__Flavobacterium sp001898245	2	1	s__ 100.0%
s__UBA12508 sp001831095	2	1	s__(g__Flavobacterium) 100.0%
s__UBA10151 sp001776635	2	1	s__(g__Flavobacterium) 100.0%
s__GWC2-70-10 sp001795345	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-44-35 sp001822695	2	1	s__(g__Flavobacterium) 100.0%
s__21-14-all-37-9 sp002772495	2	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-68-20 sp001770655	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-44-21 sp001777655	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-64-13 sp001800095	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-66-14 sp001771975	2	1	s__(g__Flavobacterium) 100.0%
s__Flavobacterium psychrophilum_A	2	1	s__Flavobacterium psychrophilum 100.0%
s__CG2-30-60-27 sp001873115	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-33-17 sp001786995	2	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-55-11 sp001788925	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-62-14 sp001805245	2	1	s__(g__Flavobacterium) 100.0%
s__Aquabacterium sp001770775	2	1	s__(g__Flavobacterium) 100.0%
s__GWB1-40-14 sp001822815	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-42-15 sp001784055	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-38-21 sp001782085	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-50-9b sp001782975	2	1	s__(g__Flavobacterium) 100.0%
s__GWB1-36-13 sp001829155	2	1	s__(g__Flavobacterium) 100.0%
s__WO2-35-19 sp001824275	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-52-16 sp001787535	2	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-57-11 sp001791115	2	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-57-22 sp001798455	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-38-15 sp001777055	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-49-10 sp001771275	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-40-24 sp001776975	2	1	s__(g__Flavobacterium) 100.0%
s__XYD1-FULL-55-31 sp001770175	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12077 sp001768565	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-40-13 sp001789745	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-43-11-A sp001789515	2	1	s__(g__Flavobacterium) 100.0%
s__GWF2-38-85 sp001797275	2	1	s__(g__Flavobacterium) 100.0%
s__Gallionella sp001801085	2	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp001915575	2	1	s__(g__Flavobacterium) 100.0%
s__Flavobacterium sp003497625	2	1	s__ 100.0%
s__UBA10212 sp001790575	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-45-11 sp001817685	2	1	s__(g__Flavobacterium) 100.0%
s__UBA10103 sp001781445	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-45-10 sp001783035	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-51-21 sp001781435	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-41-18 sp001772615	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-53-15 sp001772335	2	1	s__(g__Flavobacterium) 100.0%
s__Sulfurimonas sp001829625	2	1	s__(g__Flavobacterium) 100.0%
s__XYA2-FULL-43-15 sp001784815	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-42-20 sp001785965	2	1	s__(g__Flavobacterium) 100.0%
s__Kazan-3B-28 sp001771185	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-40-13 sp001788015	2	1	s__(g__Flavobacterium) 100.0%
s__Thiobacillus sp003510325	2	1	s__(g__Flavobacterium) 100.0%
s__XYD1-FULL-40-9 sp001818015	2	1	s__(g__Flavobacterium) 100.0%
s__WO2-48-25 sp001773695	2	1	s__(g__Flavobacterium) 100.0%
s__UBA1557 sp001783255	2	1	s__(g__Flavobacterium) 100.0%
s__GWA1-54-10 sp001775445	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-48-11 sp001805615	2	1	s__(g__Flavobacterium) 100.0%
s__GWA1-44-25 sp001778635	2	1	s__(g__Flavobacterium) 100.0%
s__UBA1561 sp001791745	2	1	s__(g__Flavobacterium) 100.0%
s__HO2-45-28 sp001819395	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-43-14 sp001816835	2	1	s__(g__Flavobacterium) 100.0%
s__UBA9973 sp001785865	2	1	s__(g__Flavobacterium) 100.0%
s__YA12-FULL-51-18 sp001800245	2	1	s__(g__Flavobacterium) 100.0%
s__HO2-39-17 sp001817425	2	1	s__(g__Flavobacterium) 100.0%
s__C00003106 sp001751015	2	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-37-12 sp001769655	2	1	s__(g__Flavobacterium) 100.0%
s__GWA2-73-35 sp001790315	2	1	s__(g__Flavobacterium) 100.0%
s__GWF2-50-93 sp001804805	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-48-14 sp001787475	2	1	s__(g__Flavobacterium) 100.0%
s__UBA1450 sp001789555	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12471 sp001768735	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-51-10 sp001823605	2	1	s__(g__Flavobacterium) 100.0%
s__O2-02-FULL-42-9 sp001801405	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-63-19 sp001770415	2	1	s__(g__Flavobacterium) 100.0%
s__UBA9959 sp001800275	2	1	s__(g__Flavobacterium) 100.0%
s__WO2-39-10b sp001792215	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-49-22 sp001788565	2	1	s__(g__Flavobacterium) 100.0%
s__YB12-FULL-65-16 sp001803235	2	1	s__(g__Flavobacterium) 100.0%
s__20CM-2-55-15 sp001920875	2	1	s__(g__Flavobacterium) 100.0%
s__GWF2-50-93 sp001804815	2	1	s__(g__Flavobacterium) 100.0%
s__XYC2-FULL-47-12 sp001778285	2	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-68-19 sp001767525	2	1	s__(g__Flavobacterium) 100.0%
s__CG2-30-66-27 sp001873935	2	1	s__(g__Flavobacterium) 100.0%
s__01-FULL-48-32b sp001773725	2	1	s__(g__Flavobacterium) 100.0%
s__UBA9973 sp001786835	2	1	s__(g__Flavobacterium) 100.0%
s__Gallionella sp001801215	2	1	s__(g__Flavobacterium) 100.0%
s__NS-102 sp003075435	2	1	s__(g__Flavobacterium) 100.0%
s__CG2-30-66-41 sp002779825	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-38-13 sp001782165	2	1	s__(g__Flavobacterium) 100.0%
s__YD12-FULL-61-37 sp001801995	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12480 sp003477045	2	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-66-21 sp001767455	2	1	s__(g__Flavobacterium) 100.0%
s__Sediminibacterium sp001829005	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-39-12-A sp001776905	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-43-22 sp001794435	2	1	s__(g__Flavobacterium) 100.0%
s__XYB2-FULL-50-12 sp001800355	2	1	s__(g__Flavobacterium) 100.0%
s__UBA11699 sp003482855	2	1	s__(g__Flavobacterium) 100.0%
s__UBA9933 sp001793945	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-49-16 sp001788955	2	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-69-37 sp001790955	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-39-21 sp001792305	2	1	s__(g__Flavobacterium) 100.0%
s__UBA9973 sp001787035	2	1	s__(g__Flavobacterium) 100.0%
s__UBA6899 sp001821435	2	1	s__(g__Flavobacterium) 100.0%
s__12-FULL-44-12b sp001823695	2	1	s__(g__Flavobacterium) 100.0%
s__UBA9968 sp001799045	2	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-60-25 sp001791275	2	1	s__(g__Flavobacterium) 100.0%
s__RBG-13-55-18 sp001768645	2	1	s__(g__Flavobacterium) 100.0%
s__UBA7173 sp001915385	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12420 sp001797255	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-42-43 sp001802455	2	1	s__(g__Flavobacterium) 100.0%
