GTDB R95 order	Number of genomes	Number of NCBI orders	List of NCBI orders	
o__Phormidesmiales	28	3	o__Synechococcales(c__) 64.29%, o__(c__Tissierellia) 32.14%, o__Oscillatoriales(c__) 3.57%	
o__GWC2-55-46	27	1	o__(c__Tissierellia) 100.0%	
o__Alicyclobacillales	27	2	o__Bacillales(c__Bacilli) 96.3%, o__(c__Tissierellia) 3.7%	
o__UBA8366	27	3	o__Rhodospirillales 55.56%, o__(c__Tissierellia) 40.74%, o__Rickettsiales 3.7%	
o__UBA1558	26	1	o__(c__Tissierellia) 100.0%	
o__Rs-D84	26	2	o__(c__Tissierellia) 76.92%, o__Rickettsiales 23.08%	
o__Rhizobiales_B	26	2	o__Rhizobiales 73.08%, o__(c__Tissierellia) 26.92%	
o__Syntrophorhabdales	26	2	o__(c__Tissierellia) 57.69%, o__Syntrophobacterales(c__Deltaproteobacteria) 42.31%	
o__Methylacidiphilales	26	3	o__Methylacidiphilales(c__Methylacidiphilae) 42.31%, o__Verrucomicrobiales 30.77%, o__(c__Tissierellia) 26.92%	
o__UBA10105	25	1	o__(c__Tissierellia) 100.0%	
o__UBA1135	25	1	o__(c__Tissierellia) 100.0%	
o__Moorellales	25	3	o__Thermoanaerobacterales(c__Clostridia) 92.0%, o__Clostridiales(c__Clostridia) 4.0%, o__(c__Tissierellia) 4.0%	
o__Thalassobaculales	25	2	o__Rhodospirillales 76.0%, o__(c__Tissierellia) 24.0%	
o__Nitrospinales	25	2	o__Nitrospinales 68.0%, o__(c__Tissierellia) 32.0%	
o__ML615J-28	25	4	o__Bacillales 36.0%, o__(c__Tissierellia) 32.0%, o__Acholeplasmatales(c__Mollicutes) 28.0%, o__Erysipelotrichales(c__Erysipelotrichia) 4.0%	
o__Kryptoniales	24	1	o__(c__Tissierellia) 100.0%	
o__Aminicenantales	24	1	o__(c__Tissierellia) 100.0%	
o__SLAD01	24	1	o__(c__Tissierellia) 100.0%	
o__Thermodesulfobacteriales	24	2	o__Thermodesulfobacteriales 95.83%, o__(c__Tissierellia) 4.17%	
o__OPB41	24	2	o__(c__Tissierellia) 91.67%, o__Coriobacteriales 8.33%	
o__Aquificales	24	2	o__Aquificales 87.5%, o__(c__Tissierellia) 12.5%	
o__HIMB59	24	2	o__Pelagibacterales 50.0%, o__(c__Tissierellia) 50.0%	
o__TMED109	24	3	o__Pelagibacterales 41.67%, o__(c__Tissierellia) 37.5%, o__Rickettsiales 20.83%	
o__Hydrogenedentiales	23	1	o__(c__Tissierellia) 100.0%	
o__Sporomusales	23	2	o__Selenomonadales 95.65%, o__Veillonellales 4.35%	
o__DTU010	23	2	o__(c__Tissierellia) 73.91%, o__Clostridiales(c__Clostridia) 26.09%	
o__Kiloniellales	23	3	o__Rhodospirillales 65.22%, o__Kiloniellales 30.43%, o__(c__Tissierellia) 4.35%	
o__Bradymonadales	23	3	o__Myxococcales(c__Deltaproteobacteria) 52.17%, o__Bradymonadales(c__Deltaproteobacteria) 34.78%, o__(c__Tissierellia) 13.04%	
o__UBA10015	22	2	o__(c__Tissierellia) 95.45%, o__Planctomycetales(c__Planctomycetia) 4.55%	
o__Endomicrobiales	22	2	o__(c__Tissierellia) 90.91%, o__Endomicrobiales 9.09%	
o__TMED127	22	3	o__Rickettsiales 77.27%, o__Pelagibacterales 13.64%, o__(c__Tissierellia) 9.09%	
o__Caldicoprobacterales	22	2	o__(c__Tissierellia) 63.64%, o__Clostridiales(c__Clostridia) 36.36%	
o__Defluviicoccales	22	2	o__Rhodospirillales 50.0%, o__(c__Tissierellia) 50.0%	
o__Ktedonobacterales	22	3	o__(c__Tissierellia) 50.0%, o__Ktedonobacterales 36.36%, o__Thermogemmatisporales 13.64%	
o__2-02-FULL-39-11	21	1	o__(c__Tissierellia) 100.0%	
o__Sungbacterales	21	1	o__(c__Tissierellia) 100.0%	
o__UBA5794	21	1	o__(c__Tissierellia) 100.0%	
o__UBA796	21	1	o__(c__Tissierellia) 100.0%	
o__SJA-28	21	2	o__(c__Tissierellia) 95.24%, o__Ignavibacteriales 4.76%	
o__Beggiatoales	21	2	o__Thiotrichales 71.43%, o__(c__Tissierellia) 28.57%	
o__SBR1031	21	2	o__(c__Tissierellia) 71.43%, o__Anaerolineales 28.57%	
o__Desulfatiglandales	21	2	o__(c__Tissierellia) 66.67%, o__Desulfobacterales(c__Deltaproteobacteria) 33.33%	
o__Syntrophobacterales	20	2	o__Syntrophobacterales(c__Deltaproteobacteria) 90.0%, o__Desulfarculales(c__Deltaproteobacteria) 10.0%	
o__AKYH767	20	3	o__(c__Tissierellia) 90.0%, o__Sphingobacteriales(c__Sphingobacteriia) 5.0%, o__Flavobacteriales(c__Flavobacteriia) 5.0%	
o__UBA4486	20	3	o__(c__Tissierellia) 65.0%, o__Thiotrichales 20.0%, o__Legionellales 15.0%	
o__Aneurinibacillales	19	1	o__Bacillales 100.0%	
o__SB-45	19	1	o__(c__Tissierellia) 100.0%	
o__WGA-4E	19	1	o__(c__Tissierellia) 100.0%	
o__BD1-5	19	1	o__(c__Tissierellia) 100.0%	
o__UBA2979	19	1	o__(c__Tissierellia) 100.0%	
o__Thermomicrobiales	19	3	o__Thermomicrobiales(c__Thermomicrobia) 42.11%, o__(c__Tissierellia) 36.84%, o__Sphaerobacterales(c__Thermomicrobia) 21.05%	
o__Euzebyales	19	4	o__Nitriliruptorales(c__Nitriliruptoria) 36.84%, o__(c__Tissierellia) 31.58%, o__Euzebyales(c__Nitriliruptoria) 15.79%, o__Egibacterales(c__Nitriliruptoria) 15.79%	
o__Hydrogenothermales	18	1	o__Aquificales 100.0%	
o__UBA9629	18	1	o__(c__Tissierellia) 100.0%	
o__MBNT15	18	1	o__(c__Tissierellia) 100.0%	
o__UBA1565	18	1	o__(c__Tissierellia) 100.0%	
o__UBA4882	18	1	o__(c__Tissierellia) 100.0%	
o__UBA4738	18	1	o__(c__Tissierellia) 100.0%	
o__Pseudanabaenales	18	3	o__Synechococcales(c__) 77.78%, o__(c__Tissierellia) 16.67%, o__Oscillatoriales(c__) 5.56%	
o__Omnitrophales	17	1	o__(c__Tissierellia) 100.0%	
o__Jiangellales	17	2	o__Jiangellales(c__Actinobacteria) 94.12%, o__(c__Tissierellia) 5.88%	
o__Halothiobacillales	17	2	o__Chromatiales 94.12%, o__(c__Tissierellia) 5.88%	
o__Thiotrichales	17	3	o__Thiotrichales 82.35%, o__(c__Tissierellia) 11.76%, o__Aquificales(c__Aquificae) 5.88%	
o__TMED189	17	3	o__(c__Tissierellia) 82.35%, o__Candidatus Actinomarinales(c__Actinobacteria) 11.76%, o__Acidimicrobiales 5.88%	
o__Monoglobales_A	17	2	o__Clostridiales 82.35%, o__(c__Tissierellia) 17.65%	
o__B4-G1	17	2	o__Thermoflexales(c__Thermoflexia) 58.82%, o__(c__Tissierellia) 41.18%	
o__Sulfobacillales	16	1	o__Clostridiales(c__Clostridia) 100.0%	
o__JGIOTU-2	16	1	o__(c__Tissierellia) 100.0%	
o__O2-12-FULL-45-9	16	1	o__(c__Tissierellia) 100.0%	
o__AC1	16	1	o__(c__Tissierellia) 100.0%	
o__SLMV01	16	1	o__(c__Tissierellia) 100.0%	
o__Magnetococcales	16	2	o__Magnetococcales(c__Alphaproteobacteria) 93.75%, o__(c__Tissierellia) 6.25%	
o__UBA8416	16	2	o__(c__Tissierellia) 93.75%, o__Lentisphaerales(c__Lentisphaeria) 6.25%	
o__UBA9160	16	2	o__(c__Tissierellia) 93.75%, o__Spirochaetales(c__Spirochaetia) 6.25%	
o__UBA4975	16	2	o__(c__Tissierellia) 87.5%, o__Clostridiales(c__Clostridia) 12.5%	
o__Reyranellales	16	2	o__Rhodospirillales 81.25%, o__(c__Tissierellia) 18.75%	
o__UBA1018	16	2	o__Bdellovibrionales(c__Oligoflexia) 62.5%, o__Bacteriovoracales(c__Oligoflexia) 37.5%	
o__Buchananbacterales	15	1	o__(c__Tissierellia) 100.0%	
o__UBA1301	15	1	o__(c__Tissierellia) 100.0%	
o__Thermosediminibacterales	15	2	o__Thermoanaerobacterales(c__Clostridia) 93.33%, o__(c__Tissierellia) 6.67%	
o__Peptococcales	15	2	o__Clostridiales(c__Clostridia) 93.33%, o__(c__Tissierellia) 6.67%	
o__Micavibrionales_C	15	2	o__(c__Tissierellia) 93.33%, o__Rhodospirillales 6.67%	
o__UBA1280	15	4	o__(c__Tissierellia) 66.67%, o__Magnetococcales 20.0%, o__Pseudomonadales(c__Gammaproteobacteria) 6.67%, o__Rhizobiales 6.67%	
o__Thermacetogeniales	15	3	o__Thermoanaerobacterales(c__Clostridia) 53.33%, o__Clostridiales(c__Clostridia) 40.0%, o__(c__Tissierellia) 6.67%	
o__T3Sed10-11	15	2	o__Ignavibacteriales(c__Ignavibacteria) 53.33%, o__(c__Tissierellia) 46.67%	
o__Kazan-3B-28	14	1	o__(c__Tissierellia) 100.0%	
o__Veblenbacterales	14	1	o__(c__Tissierellia) 100.0%	
o__Ryanbacterales	14	1	o__(c__Tissierellia) 100.0%	
o__Leptolyngbyales	14	2	o__Synechococcales(c__) 92.86%, o__Oscillatoriales(c__) 7.14%	
o__Haloplasmatales	14	3	o__Erysipelotrichales(c__Erysipelotrichia) 78.57%, o__Haloplasmatales(c__) 14.29%, o__(c__Tissierellia) 7.14%	
o__UBA9655	14	2	o__(c__Tissierellia) 71.43%, o__Holosporales 28.57%	
o__B1SED10-174	14	2	o__Halanaerobiales(c__Clostridia) 71.43%, o__(c__Tissierellia) 28.57%	
o__UBA7916	14	2	o__(c__Tissierellia) 57.14%, o__Legionellales 42.86%	
o__UBA6902	14	2	o__(c__Tissierellia) 50.0%, o__Nitrospirales(c__Nitrospira) 50.0%	
o__Cryosericales	14	2	o__(c__Tissierellia) 50.0%, o__Candidatus Cryosericales(c__Candidatus Cryosericia) 50.0%	
o__Halobacteroidales	13	1	o__Halanaerobiales(c__Clostridia) 100.0%	
o__UBA1560	13	1	o__(c__Tissierellia) 100.0%	
o__UBA2196	13	1	o__(c__Tissierellia) 100.0%	
o__GWA2-35-9	13	1	o__(c__Tissierellia) 100.0%	
o__AKYH767-A	13	1	o__(c__Tissierellia) 100.0%	
o__UBA4971	13	1	o__(c__Tissierellia) 100.0%	
o__UBA1414	13	1	o__(c__Tissierellia) 100.0%	
o__Thermoanaerobaculales	13	2	o__(c__Tissierellia) 92.31%, o__Thermoanaerobaculales 7.69%	
o__UBA1144	13	2	o__(c__Tissierellia) 92.31%, o__Spirochaetales(c__Spirochaetia) 7.69%	
o__UBA817	13	2	o__(c__Tissierellia) 84.62%, o__Rickettsiales(c__Alphaproteobacteria) 15.38%	
o__UBA1407	13	3	o__(c__Tissierellia) 76.92%, o__Victivallales 15.38%, o__Lentisphaerales 7.69%	
o__Fermentibacterales	13	2	o__(c__Tissierellia) 76.92%, o__Candidatus Fermentibacterales(c__Candidatus Fermentibacteria (class)) 23.08%	
o__Kiritimatiellales	13	2	o__Kiritimatiellales 69.23%, o__(c__Tissierellia) 30.77%	
o__UBA1845	13	3	o__Phycisphaerales 38.46%, o__(c__Tissierellia) 30.77%, o__Planctomycetales(c__Planctomycetia) 30.77%	
o__SM23-28-2	12	1	o__(c__Tissierellia) 100.0%	
o__CPR2	12	1	o__(c__Tissierellia) 100.0%	
o__UBA10190	12	1	o__(c__Tissierellia) 100.0%	
o__UBA9968	12	1	o__(c__Tissierellia) 100.0%	
o__UBA9570	12	1	o__(c__Tissierellia) 100.0%	
o__UBA2963	12	1	o__(c__Tissierellia) 100.0%	
o__UBA9649	12	2	o__(c__Tissierellia) 91.67%, o__Planctomycetales(c__Planctomycetia) 8.33%	
o__UBA8231	12	2	o__(c__Tissierellia) 83.33%, o__Gemmatimonadales(c__Gemmatimonadetes) 16.67%	
o__UBA5335	12	3	o__(c__Tissierellia) 75.0%, o__Thiotrichales 16.67%, o__Chromatiales 8.33%	
o__PWYM01	12	2	o__(c__Tissierellia) 75.0%, o__Chromatiales 25.0%	
o__Woeseiales	12	2	o__(c__Tissierellia) 58.33%, o__Chromatiales 41.67%	
o__Ammonifexales	12	3	o__Clostridiales(c__Clostridia) 50.0%, o__Thermoanaerobacterales(c__Clostridia) 33.33%, o__(c__Tissierellia) 16.67%	
o__Propionisporales	11	1	o__Selenomonadales 100.0%	
o__IMCC26256	11	1	o__(c__Tissierellia) 100.0%	
o__GWC2-36-17	11	1	o__(c__Tissierellia) 100.0%	
o__OS-L	11	1	o__(c__Tissierellia) 100.0%	
o__Monoglobales	11	1	o__Clostridiales 100.0%	
o__XYC2-FULL-46-14	11	1	o__(c__Tissierellia) 100.0%	
o__UBA4802	11	1	o__(c__Tissierellia) 100.0%	
o__UBA4705	11	1	o__(c__Tissierellia) 100.0%	
o__UBA2968	11	1	o__(c__Tissierellia) 100.0%	
o__Obscuribacterales	11	2	o__(c__Tissierellia) 90.91%, o__Candidatus Obscuribacterales(c__) 9.09%	
o__Holophagales	11	2	o__Holophagales 81.82%, o__(c__Tissierellia) 18.18%	
o__Thermosynechococcales	11	3	o__Synechococcales(c__) 81.82%, o__Oscillatoriales(c__) 9.09%, o__(c__Tissierellia) 9.09%	
o__DSM-16500	11	2	o__(c__Tissierellia) 72.73%, o__Legionellales 27.27%	
o__Diplorickettsiales	11	2	o__Legionellales 54.55%, o__(c__Tissierellia) 45.45%	
o__Sneathiellales	11	2	o__(c__Tissierellia) 54.55%, o__Sneathiellales 45.45%	
o__Methylomirabilales	10	1	o__(c__Tissierellia) 100.0%	
o__GWA2-46-9	10	1	o__(c__Tissierellia) 100.0%	
o__CSP1-3	10	1	o__(c__Tissierellia) 100.0%	
o__Absconditabacterales	10	1	o__(c__Tissierellia) 100.0%	
o__DTUO25	10	1	o__(c__Tissierellia) 100.0%	
o__UBA2169	10	1	o__(c__Tissierellia) 100.0%	
o__UBA9942	10	1	o__(c__Tissierellia) 100.0%	
o__UBA2591	10	1	o__(c__Tissierellia) 100.0%	
o__UBA7540	10	1	o__(c__Tissierellia) 100.0%	
o__DRI-13	10	2	o__Clostridiales(c__Clostridia) 90.0%, o__(c__Tissierellia) 10.0%	
o__UBA2774	10	2	o__(c__Tissierellia) 90.0%, o__Thermodesulfobacteriales(c__Thermodesulfobacteria) 10.0%	
o__UBA2991	10	2	o__(c__Tissierellia) 90.0%, o__Thermoflexales(c__Thermoflexia) 10.0%	
o__UBA6615	10	2	o__(c__Tissierellia) 70.0%, o__Rhodospirillales 30.0%	
o__Promineofilales	10	3	o__(c__Tissierellia) 60.0%, o__Anaerolineales 30.0%, o__Ardenticatenales(c__Ardenticatenia) 10.0%	
o__ATCC43930	10	2	o__Rhodospirillales 50.0%, o__(c__Tissierellia) 50.0%	
o__Caldilineales	10	3	o__Caldilineales(c__Caldilineae) 50.0%, o__(c__Tissierellia) 30.0%, o__Anaerolineales 20.0%	
o__Evansiales	9	1	o__Oceanospirillales 100.0%	
o__PCC-7336	9	1	o__Synechococcales(c__) 100.0%	
o__CPR3	9	1	o__(c__Tissierellia) 100.0%	
o__UBA10025	9	1	o__(c__Tissierellia) 100.0%	
o__32-111	9	1	o__(c__Tissierellia) 100.0%	
o__UBA1551	9	1	o__(c__Tissierellia) 100.0%	
o__UBA10029	9	1	o__(c__Tissierellia) 100.0%	
o__UBA1146	9	1	o__(c__Tissierellia) 100.0%	
o__UBA10575	9	1	o__(c__Tissierellia) 100.0%	
o__Binatales	9	1	o__(c__Tissierellia) 100.0%	
o__UBA2241	9	1	o__(c__Tissierellia) 100.0%	
o__Isosphaerales	9	2	o__Planctomycetales(c__Planctomycetia) 88.89%, o__(c__Tissierellia) 11.11%	
o__Thiohalomonadales_A	9	2	o__(c__Tissierellia) 88.89%, o__Chromatiales 11.11%	
o__UTPRO1	9	2	o__(c__Tissierellia) 88.89%, o__Myxococcales(c__Deltaproteobacteria) 11.11%	
o__Nannocystales	9	2	o__Myxococcales(c__Deltaproteobacteria) 77.78%, o__(c__Tissierellia) 22.22%	
o__UBA12402	9	2	o__(c__Tissierellia) 77.78%, o__Legionellales 22.22%	
o__UBA7985	9	3	o__Rhodospirillales 66.67%, o__(c__Tissierellia) 22.22%, o__Kiloniellales 11.11%	
o__Caldisericales	9	2	o__(c__Tissierellia) 66.67%, o__Caldisericales 33.33%	
o__UBA7879	9	3	o__(c__Tissierellia) 55.56%, o__Holosporales 33.33%, o__Rickettsiales 11.11%	
o__Tumebacillales	8	1	o__Bacillales(c__Bacilli) 100.0%	
o__UBA11705	8	1	o__(c__Tissierellia) 100.0%	
o__Terrybacterales	8	1	o__(c__Tissierellia) 100.0%	
o__UBA11654	8	1	o__(c__Tissierellia) 100.0%	
o__Caldatribacteriales	8	1	o__(c__Tissierellia) 100.0%	
o__OXYB2-FULL-49-7	8	1	o__(c__Tissierellia) 100.0%	
o__2-02-FULL-39-32	8	1	o__(c__Tissierellia) 100.0%	
o__GWE2-31-10	8	1	o__(c__Tissierellia) 100.0%	
o__UBA4055	8	1	o__(c__Tissierellia) 100.0%	
o__UBA8473	8	1	o__(c__Tissierellia) 100.0%	
o__UBA1544	8	1	o__(c__Tissierellia) 100.0%	
o__CG1-02-43-210	8	1	o__(c__Tissierellia) 100.0%	
o__JdFR-76	8	1	o__(c__Tissierellia) 100.0%	
o__4484-171	8	1	o__(c__Tissierellia) 100.0%	
o__UBA1212	8	1	o__Clostridiales 100.0%	
o__GCA-002705445	8	1	o__(c__Tissierellia) 100.0%	
o__UBA2242	8	1	o__(c__Tissierellia) 100.0%	
o__Rubrobacterales	8	2	o__Rubrobacterales 87.5%, o__(c__Tissierellia) 12.5%	
o__UBA6522	8	2	o__(c__Tissierellia) 87.5%, o__Rhodospirillales(c__Alphaproteobacteria) 12.5%	
o__Thiohalomonadales	8	2	o__Chromatiales 62.5%, o__(c__Tissierellia) 37.5%	
o__BSN033	8	2	o__Syntrophobacterales(c__Deltaproteobacteria) 62.5%, o__(c__Tissierellia) 37.5%	
o__UBA7887	8	2	o__(c__Tissierellia) 62.5%, o__Rhodospirillales 37.5%	
o__SM23-33	8	3	o__Phycisphaerales 50.0%, o__(c__Tissierellia) 37.5%, o__Planctomycetales(c__Planctomycetia) 12.5%	
o__Aerophobales	7	1	o__(c__Tissierellia) 100.0%	
o__DTU065	7	1	o__(c__Tissierellia) 100.0%	
o__UBA8919	7	1	o__(c__Tissierellia) 100.0%	
o__SPLOWO2-01-44-7	7	1	o__(c__Tissierellia) 100.0%	
o__GWA2-38-11	7	1	o__(c__Tissierellia) 100.0%	
o__Ozemobacterales	7	1	o__(c__Tissierellia) 100.0%	
o__GWF2-39-127	7	1	o__(c__Tissierellia) 100.0%	
o__CG2-30-33-46	7	1	o__(c__Tissierellia) 100.0%	
o__LD1-PB3	7	1	o__(c__Tissierellia) 100.0%	
o__UBA1572	7	1	o__(c__Tissierellia) 100.0%	
o__UBA2386	7	1	o__(c__Tissierellia) 100.0%	
o__UBA8108	7	1	o__(c__Tissierellia) 100.0%	
o__SZUA-252	7	1	o__(c__Tissierellia) 100.0%	
o__SLGR01	7	1	o__(c__Tissierellia) 100.0%	
o__Caedimonadales	7	2	o__Holosporales 85.71%, o__(c__Tissierellia) 14.29%	
o__Dissulfuribacterales	7	2	o__(c__Tissierellia) 85.71%, o__Thermodesulfobacteriales(c__Thermodesulfobacteria) 14.29%	
o__UBA10199	7	2	o__(c__Tissierellia) 85.71%, o__Nitrospirales(c__Nitrospira) 14.29%	
o__CG2-30-70-394	7	2	o__(c__Tissierellia) 85.71%, o__Chrysiogenales(c__Chrysiogenetes) 14.29%	
o__Thermicanales	7	2	o__Bacillales 71.43%, o__Thermoanaerobacterales(c__Clostridia) 28.57%	
o__Granulosicoccales	7	2	o__Chromatiales 71.43%, o__(c__Tissierellia) 28.57%	
o__HDB-SIOI813	7	2	o__(c__Tissierellia) 71.43%, o__Nitrospirales(c__Nitrospira) 28.57%	
o__UBA1429	7	2	o__(c__Tissierellia) 71.43%, o__Anaerolineales 28.57%	
o__Holosporales	7	3	o__Holosporales 57.14%, o__(c__Tissierellia) 28.57%, o__Rickettsiales 14.29%	
o__Elainellales	7	2	o__Synechococcales(c__) 57.14%, o__(c__Tissierellia) 42.86%	
o__C00003060	7	2	o__Desulfobacterales(c__Deltaproteobacteria) 57.14%, o__(c__Tissierellia) 42.86%	
o__Thiohalobacterales	7	2	o__(c__Tissierellia) 57.14%, o__Chromatiales 42.86%	
o__GCA-002720895	7	2	o__(c__Tissierellia) 57.14%, o__Pelagibacterales 42.86%	
o__SKNC01	7	2	o__Clostridiales(c__Clostridia) 57.14%, o__(c__Tissierellia) 42.86%	
o__Oligoflexales	7	3	o__Oligoflexales 42.86%, o__Bdellovibrionales 28.57%, o__(c__Tissierellia) 28.57%	
o__Desulfobaccales	7	4	o__(c__Tissierellia) 42.86%, o__Syntrophobacterales(c__Deltaproteobacteria) 28.57%, o__Desulfarculales(c__Deltaproteobacteria) 14.29%, o__Desulfobacterales(c__Deltaproteobacteria) 14.29%	
o__Caldanaerobiales	6	1	o__Thermoanaerobacterales(c__Clostridia) 100.0%	
o__SM23-42	6	1	o__(c__Tissierellia) 100.0%	
o__MSB-5A5	6	1	o__(c__Tissierellia) 100.0%	
o__AB16	6	1	o__(c__Tissierellia) 100.0%	
o__Ga0077560	6	1	o__(c__Tissierellia) 100.0%	
o__CG1-02-37-114	6	1	o__(c__Tissierellia) 100.0%	
o__XYD2-FULL-50-16	6	1	o__(c__Tissierellia) 100.0%	
o__CG2-30-53-67	6	1	o__(c__Tissierellia) 100.0%	
o__CG2-30-59-28	6	1	o__(c__Tissierellia) 100.0%	
o__2-02-FULL-40-11	6	1	o__(c__Tissierellia) 100.0%	
o__B13-G15	6	1	o__(c__Tissierellia) 100.0%	
o__UBA1177	6	1	o__(c__Tissierellia) 100.0%	
o__GN15	6	1	o__(c__Tissierellia) 100.0%	
o__UBA5377	6	1	o__(c__Tissierellia) 100.0%	
o__LZORAL124-64-63	6	1	o__(c__Tissierellia) 100.0%	
o__UBA4664	6	1	o__(c__Tissierellia) 100.0%	
o__UBA4068	6	1	o__Clostridiales(c__Clostridia) 100.0%	
o__Bac17	6	1	o__(c__Tissierellia) 100.0%	
o__GCA-002687715	6	1	o__(c__Tissierellia) 100.0%	
o__Palsa-1439	6	1	o__(c__Tissierellia) 100.0%	
o__Thermaerobacterales	6	2	o__Clostridiales(c__Clostridia) 83.33%, o__(c__Tissierellia) 16.67%	
o__Paracaedibacterales	6	2	o__Holosporales 83.33%, o__(c__Tissierellia) 16.67%	
o__Ga0077536	6	2	o__(c__Tissierellia) 83.33%, o__Methylococcales 16.67%	
o__CG2-30-40-21	6	2	o__(c__Tissierellia) 83.33%, o__Nitrospirales(c__Nitrospira) 16.67%	
o__UBA2199	6	2	o__(c__Tissierellia) 83.33%, o__Chrysiogenales(c__Chrysiogenetes) 16.67%	
o__UBA5704	6	2	o__(c__Tissierellia) 83.33%, o__Holophagales(c__Holophagae) 16.67%	
o__Haliangiales	6	2	o__Myxococcales(c__Deltaproteobacteria) 66.67%, o__(c__Tissierellia) 33.33%	
o__UBA8248	6	2	o__(c__Tissierellia) 66.67%, o__Nitrospinales(c__Nitrospinia) 33.33%	
o__UBA828	6	2	o__(c__Tissierellia) 66.67%, o__Rhodospirillales 33.33%	
o__Chitinivibrionales	6	3	o__(c__Tissierellia) 50.0%, o__Chitinispirillales(c__Chitinispirillia) 33.33%, o__Chitinivibrionales 16.67%	
o__Tistrellales	5	1	o__Rhodospirillales 100.0%	
o__GWA2-43-13	5	1	o__(c__Tissierellia) 100.0%	
o__UBA12157	5	1	o__(c__Tissierellia) 100.0%	
o__DTU084	5	1	o__(c__Tissierellia) 100.0%	
o__Tepidibacillales	5	1	o__Bacillales 100.0%	
o__UBA6215	5	1	o__(c__Tissierellia) 100.0%	
o__Woykebacterales	5	1	o__(c__Tissierellia) 100.0%	
o__20CM-2-55-15	5	1	o__(c__Tissierellia) 100.0%	
o__2-02-FULL-44-16	5	1	o__(c__Tissierellia) 100.0%	
o__Gp22-AA2	5	1	o__(c__Tissierellia) 100.0%	
o__UBA10183	5	1	o__(c__Tissierellia) 100.0%	
o__UBA2777	5	1	o__(c__Tissierellia) 100.0%	
o__RBG-16-71-46	5	1	o__(c__Tissierellia) 100.0%	
o__Carboxydocellales	5	1	o__Clostridiales(c__Clostridia) 100.0%	
o__UBA7694	5	1	o__(c__Tissierellia) 100.0%	
o__UBA3072	5	1	o__(c__Tissierellia) 100.0%	
o__SSS58A	5	1	o__(c__Tissierellia) 100.0%	
o__UBA6126	5	1	o__(c__Tissierellia) 100.0%	
o__SS1-B-03-39	5	1	o__(c__Tissierellia) 100.0%	
o__UBA2258	5	1	o__(c__Tissierellia) 100.0%	
o__UBA4151	5	1	o__Myxococcales(c__Deltaproteobacteria) 100.0%	
o__QHBO01	5	1	o__(c__Tissierellia) 100.0%	
o__UBA7950	5	1	o__(c__Tissierellia) 100.0%	
o__SZUA-229	5	2	o__(c__Tissierellia) 80.0%, o__Thiotrichales 20.0%	
o__UBA5066	5	2	o__(c__Tissierellia) 80.0%, o__Holophagales(c__Holophagae) 20.0%	
o__Thermoflexales	5	2	o__(c__Tissierellia) 80.0%, o__Thermoflexales(c__Thermoflexia) 20.0%	
o__CR04bin15	5	2	o__Calditrichales(c__Calditrichae) 80.0%, o__(c__Tissierellia) 20.0%	
o__Geminicoccales	5	2	o__Rhodospirillales 60.0%, o__(c__Tissierellia) 40.0%	
o__Berkiellales	5	3	o__Legionellales 60.0%, o__(c__Tissierellia) 20.0%, o__Thiotrichales 20.0%	
o__UBA9217	5	2	o__(c__Tissierellia) 60.0%, o__Nitrospirales(c__Nitrospira) 40.0%	
o__Thermincolales	5	2	o__(c__Tissierellia) 60.0%, o__Clostridiales(c__Clostridia) 40.0%	
o__Dethiobacterales	5	2	o__(c__Tissierellia) 60.0%, o__Clostridiales(c__Clostridia) 40.0%	
o__GCA-2729495	5	2	o__Chromatiales 60.0%, o__(c__Tissierellia) 40.0%	
o__UBA8558	5	2	o__Rickettsiales 60.0%, o__(c__Tissierellia) 40.0%	
o__UBA9042	5	2	o__(c__Tissierellia) 60.0%, o__Myxococcales(c__Deltaproteobacteria) 40.0%	
o__Dongiales	4	1	o__Rhodospirillales 100.0%	
o__Oceanibaculales	4	1	o__Rhodospirillales 100.0%	
o__Carboxydothermales	4	1	o__Thermoanaerobacterales(c__Clostridia) 100.0%	
o__D8A-2	4	1	o__(c__Tissierellia) 100.0%	
o__Calescibacteriales	4	1	o__(c__Tissierellia) 100.0%	
o__Ga0077554	4	1	o__(c__Tissierellia) 100.0%	
o__DTU080	4	1	o__(c__Tissierellia) 100.0%	
o__XJ16	4	1	o__Chromatiales 100.0%	
o__D2-FULL-39-29	4	1	o__(c__Tissierellia) 100.0%	
o__2-02-FULL-50-16	4	1	o__(c__Tissierellia) 100.0%	
o__UBA8468	4	1	o__(c__Tissierellia) 100.0%	
o__2-02-FULL-35-15	4	1	o__(c__Tissierellia) 100.0%	
o__UBA10806	4	1	o__(c__Tissierellia) 100.0%	
o__S15B-MN24	4	1	o__(c__Tissierellia) 100.0%	
o__RBG-13-44-9	4	1	o__(c__Tissierellia) 100.0%	
o__UBA7662	4	1	o__(c__Tissierellia) 100.0%	
o__UBA3073	4	1	o__(c__Tissierellia) 100.0%	
o__CG03	4	1	o__(c__Tissierellia) 100.0%	
o__UBA890	4	1	o__(c__Tissierellia) 100.0%	
o__UBA6624	4	1	o__(c__Tissierellia) 100.0%	
o__UBA2214	4	1	o__(c__Tissierellia) 100.0%	
o__UBA6911	4	1	o__(c__Tissierellia) 100.0%	
o__UBA1063	4	1	o__(c__Tissierellia) 100.0%	
o__PHBI01	4	1	o__(c__Tissierellia) 100.0%	
o__UBA2361	4	1	o__(c__Tissierellia) 100.0%	
