GTDB R95 order	Number of genomes	Number of NCBI orders	List of NCBI orders	
o__Streptomycetales	1429	4	o__Streptomycetales(c__Actinobacteria) 99.37%, o__(c__Tissierellia) 0.28%, o__Catenulisporales(c__Actinobacteria) 0.21%, o__Streptosporangiales(c__Actinobacteria) 0.14%	
o__Rhodobacterales	1244	4	o__Rhodobacterales 98.47%, o__(c__Tissierellia) 1.29%, o__Rhizobiales 0.16%, o__Rhodospirillales 0.08%	
o__Sphingomonadales	984	11	o__Sphingomonadales 94.72%, o__(c__Tissierellia) 2.95%, o__Kordiimonadales 1.22%, o__Emcibacterales 0.41%, o__Burkholderiales(c__Betaproteobacteria) 0.1%, o__Neisseriales(c__Betaproteobacteria) 0.1%, o__Caulobacterales 0.1%, o__Micrococcales(c__Actinobacteria) 0.1%, o__Bacillales(c__Bacilli) 0.1%, o__Rhodothalassiales 0.1%, o__Pseudomonadales(c__Gammaproteobacteria) 0.1%	
o__Coriobacteriales	785	3	o__Coriobacteriales 81.66%, o__Eggerthellales 15.29%, o__(c__Tissierellia) 3.06%	
o__Propionibacteriales	662	3	o__Propionibacteriales(c__Actinobacteria) 99.09%, o__(c__Tissierellia) 0.6%, o__Actinomycetales(c__Actinobacteria) 0.3%	
o__Leptospirales	633	3	o__Leptospirales(c__Spirochaetia) 99.53%, o__Spirochaetales(c__Spirochaetia) 0.32%, o__(c__Tissierellia) 0.16%	
o__Mycoplasmatales	630	6	o__Mycoplasmatales(c__Mollicutes) 86.03%, o__Entomoplasmatales(c__Mollicutes) 13.17%, o__Chlamydiales(c__Chlamydiia) 0.32%, o__Acholeplasmatales(c__Mollicutes) 0.16%, o__Bacillales 0.16%, o__(c__Tissierellia) 0.16%	
o__PCC-6307	614	4	o__Synechococcales(c__) 98.53%, o__(c__Tissierellia) 1.14%, o__Propionibacteriales(c__Actinobacteria) 0.16%, o__Chroococcales(c__) 0.16%	
o__Acidimicrobiales	556	3	o__Acidimicrobiales 86.87%, o__(c__Tissierellia) 12.95%, o__Actinomycetales(c__Actinobacteria) 0.18%	
o__Paenibacillales	523	1	o__Bacillales 100.0%	
o__Cyanobacteriales	517	8	o__Nostocales(c__) 38.68%, o__Chroococcales(c__) 25.15%, o__Oscillatoriales(c__) 18.76%, o__(c__Tissierellia) 8.51%, o__Synechococcales(c__) 5.8%, o__Pleurocapsales(c__) 1.55%, o__Chroococcidiopsidales(c__) 1.16%, o__Spirulinales(c__) 0.39%	
o__UBA9983	515	1	o__(c__Tissierellia) 100.0%	
o__Cytophagales	421	4	o__Cytophagales(c__Cytophagia) 95.72%, o__(c__Tissierellia) 3.8%, o__Rhodobacterales(c__Alphaproteobacteria) 0.24%, o__Rickettsiales(c__Alphaproteobacteria) 0.24%	
o__Caulobacterales	417	5	o__Caulobacterales 53.0%, o__Rhodobacterales 39.81%, o__(c__Tissierellia) 4.56%, o__Parvularculales 2.4%, o__Acidimicrobiales(c__Acidimicrobiia) 0.24%	
o__Erysipelotrichales	387	5	o__Erysipelotrichales(c__Erysipelotrichia) 82.69%, o__Clostridiales(c__Clostridia) 10.08%, o__(c__Tissierellia) 4.39%, o__Lactobacillales 2.58%, o__Bacteroidales(c__Bacteroidia) 0.26%	
o__Christensenellales	346	8	o__Clostridiales(c__Clostridia) 87.86%, o__(c__Tissierellia) 10.4%, o__Acidaminococcales(c__Negativicutes) 0.29%, o__Myxococcales(c__Deltaproteobacteria) 0.29%, o__Rhodospirillales(c__Alphaproteobacteria) 0.29%, o__Selenomonadales(c__Negativicutes) 0.29%, o__Thermoanaerobacterales(c__Clostridia) 0.29%, o__Candidatus Borkfalkiales(c__Clostridia) 0.29%	
o__Acetobacterales	345	1	o__Rhodospirillales 100.0%	
o__Rickettsiales	341	4	o__Rickettsiales 92.96%, o__(c__Tissierellia) 6.45%, o__Holosporales 0.29%, o__Rhodospirillales 0.29%	
